SA1_CODE21,Education level,Income level,Adaptive Capability Index
1100701,984.0,1001.0,0.7741866
1100702,1055.0,1078.0,0.8319107
1100703,1010.0,951.0,0.7648031
1100704,1026.0,986.0,0.7846997
1100705,979.0,965.0,0.7581865
1100706,942.0,1001.0,0.7578187
1100707,1047.0,1026.0,0.8084965
1100708,1111.0,1058.0,0.8459282
1100709,1048.0,1084.0,0.8315247
1100710,1013.0,1014.0,0.7905624
1100801,955.0,1017.0,0.7691301
1100802,1001.0,1071.0,0.8081341
1100803,852.0,839.0,0.6595128
1100804,883.0,887.0,0.69032925
1100805,868.0,732.0,0.623984
1100806,932.0,1027.0,0.7640699
1100807,958.0,944.0,0.7418059
1100808,953.0,968.0,0.749225
1100809,0.0,0.0,0.0
1100810,1056.0,1128.0,0.85181653
1100811,986.0,1024.0,0.7839434
1100812,1112.0,1086.0,0.8572469
1100813,1037.0,1103.0,0.834654
1100814,1003.0,1063.0,0.80579096
1100815,940.0,931.0,0.7297169
1100816,908.0,868.0,0.6926559
1100817,928.0,975.0,0.74221444
1100818,902.0,921.0,0.7110047
1100819,1015.0,1123.0,0.83388674
1100820,952.0,1020.0,0.7691319
1100821,983.0,1130.0,0.8241482
1100822,1006.0,1135.0,0.83506316
1100823,1051.0,1052.0,0.8202036
1100901,1045.0,1028.0,0.80849767
1100902,989.0,1046.0,0.7936996
1100904,1009.0,1089.0,0.8182776
1100905,991.0,1016.0,0.7827694
1100907,1004.0,928.0,0.75348747
1100908,1053.0,896.0,0.7600931
1100909,988.0,849.0,0.71641684
1100910,1022.0,849.0,0.729667
1100911,951.0,949.0,0.7410295
1100912,951.0,966.0,0.7476649
1100913,1003.0,1029.0,0.79252005
1100914,1014.0,1015.0,0.7913425
1100915,972.0,879.0,0.72189105
1100916,999.0,986.0,0.77417743
1100917,1018.0,830.0,0.72069204
1100918,1033.0,997.0,0.7917212
1100919,1027.0,968.0,0.77806365
1100920,927.0,817.0,0.6801542
1100921,1043.0,939.0,0.77297974
1100923,973.0,1028.0,0.7804384
1100924,0.0,0.0,0.0
1100925,1019.0,922.0,0.7569912
1100926,940.0,863.0,0.7031751
1100927,1032.0,1045.0,0.8100668
1100928,962.0,886.0,0.72072613
1100929,965.0,879.0,0.71916306
1101001,1044.0,887.0,0.75307286
1101002,1155.0,1170.0,0.9067914
1101003,1074.0,1140.0,0.86351514
1101004,1037.0,1073.0,0.8229444
1101006,988.0,829.0,0.7086104
1101007,1015.0,909.0,0.7503582
1101008,958.0,858.0,0.70823836
1101009,1005.0,1015.0,0.78783506
1101010,979.0,907.0,0.73554796
1101011,966.0,907.0,0.73048174
1101012,970.0,1020.0,0.7761467
1101013,0.0,0.0,0.0
1101014,1096.0,1165.0,0.8818468
1101015,976.0,864.0,0.7175951
