SA1_CODE21,LST,Heat Exposure Index
5102101,30.77960237,0.21253043
5102102,28.91271804,0.0933975
5102103,28.9800927,0.09769696
5102104,29.67662059,0.14214501
5102105,32.06955772,0.29484737
5102106,31.00356247,0.22682223
5102107,29.92097557,0.15773818
5102108,30.35114663,0.18518908
5102109,30.29409887,0.1815487
5102110,30.33350952,0.18406358
5102111,30.86163549,0.21776529
5102112,29.37677115,0.123010546
5102113,29.67272582,0.14189647
5102114,29.99303882,0.16233683
5102115,29.6388437,0.13973433
5102116,29.99144941,0.16223544
5102117,29.64262704,0.1399758
5102201,30.60753545,0.20155028
5102202,30.62705201,0.20279567
5102203,30.20876295,0.17610304
5102204,31.72750877,0.27301994
5102205,31.37088486,0.25026238
5102206,32.24013116,0.30573234
5102207,32.25961384,0.30697554
5102208,32.17695652,0.3017009
5102209,30.28304348,0.18084311
5102210,30.77713487,0.21237294
5102211,31.60832106,0.2654141
5102212,30.96301767,0.22423492
5102213,31.7503301,0.27447626
5102214,32.29392582,0.30916518
5102215,30.75906387,0.21121982
5102216,34.02652174,0.4197288
5102217,32.17695652,0.3017009
5102218,30.29084601,0.18134105
5102219,31.45089058,0.25536796
5102220,32.17695652,0.3017009
5102301,33.66660941,0.3967614
5102302,34.73359685,0.4648498
5102303,33.65083982,0.39575505
5102304,35.80203318,0.5330307
5102306,36.01763412,0.54678917
5102307,33.73805098,0.40132034
5102308,34.82533579,0.47070405
5102309,34.73379515,0.46486247
5102310,34.21129283,0.43151957
5102311,34.86743249,0.4733903
5102312,34.12402311,0.42595062
5102314,37.07580063,0.61431473
5102315,37.80648852,0.6609426
5102316,36.433492,0.57332647
5102317,36.82320131,0.5981953
5102318,36.87186568,0.6013007
5102319,35.81340994,0.53375685
5102320,35.52045881,0.5150624
5102321,35.1067769,0.48866385
5102322,36.18818385,0.55767244
5102323,36.44748159,0.57421935
5102324,35.07550718,0.48666844
5102325,35.85312862,0.5362915
5102326,35.4148357,0.5083223
5102401,33.56602396,0.39034262
5102402,33.05959245,0.35802528
5102403,31.86399116,0.28172937
5102404,31.50742691,0.2589757
5102405,32.21961124,0.30442291
5102406,33.16859515,0.36498109
5102407,32.55172585,0.32561645
5102408,34.72172528,0.46409225
5102409,34.79989622,0.46908063
5102410,34.65483379,0.4598237
5102411,32.31871643,0.31074724
5102412,34.26304348,0.43482193
5102413,34.24273384,0.43352592
5102414,33.90474567,0.41195777
5102415,33.11462155,0.36153677
5102416,33.84159837,0.40792802
5102417,34.5563227,0.45353734
5102418,33.28999013,0.37272775
5102419,34.13620927,0.42672813
5102420,33.99616665,0.41779158
5102421,33.73254349,0.40096882
5102422,34.59359387,0.45591566
5102423,33.78292698,0.40418404
5102424,33.62080515,0.39383826
5102425,34.33696986,0.4395396
5102426,34.31091855,0.437877
5102427,33.9982691,0.4179257
5102428,34.67416004,0.46105692
5102429,34.02982921,0.41993985
5102430,32.10304348,0.2969842
5102431,34.76913043,0.46711734
5102432,35.21314032,0.49545118
5102433,34.1181431,0.4255755
5102434,33.46198847,0.38370377
5102436,33.53173913,0.38815466
5102437,36.0606734,0.5495355
5102438,34.77202356,0.46730188
5102439,34.02652174,0.4197288
5102440,33.91073032,0.41233945
5102441,36.09923635,0.55199635
5102501,33.6438383,0.3953081
5102503,33.86042915,0.4091296
5102504,35.89437421,0.53892344
5102505,34.46753138,0.44787127
5102506,34.52295453,0.45140782
5102507,34.45683755,0.44718868
5102508,35.53335448,0.5158854
5102509,37.8931176,0.66647065
5102510,37.87285755,0.6651778
5102511,36.71821175,0.59149563
5102512,36.23463418,0.5606367
5102513,35.50741312,0.5142299
5102514,37.2985724,0.6285306
5102515,37.21478019,0.6231834
5102516,36.73598924,0.59262997
5102517,35.6559678,0.5237098
5102518,36.45014382,0.5743893
5102519,35.93346034,0.5414176
5102520,35.32643517,0.5026811
5102522,36.16809216,0.5563903
5102523,34.55666428,0.453559
5102524,36.47865709,0.57620865
5102525,35.02229006,0.48327234
5102526,33.76774643,0.4032152
5102601,37.47713251,0.63992506
5102602,35.65323421,0.52353525
5102603,34.97460004,0.48022923
5102604,34.38756648,0.44276825
5102605,36.55920673,0.58134896
5102606,37.2825284,0.62750673
5102607,36.12108312,0.5533905
5102608,37.6236775,0.6492767
5102609,35.96757388,0.5435946
5102611,35.46952841,0.5118124
5102612,35.97128858,0.54383147
5102613,35.67440574,0.52488625
5102614,36.8730965,0.60137933
5102615,36.20238155,0.5585785
5102616,36.83846745,0.5991695
5102617,37.39960439,0.6349779
5102705,35.39326573,0.5069457
5102706,34.94407133,0.47828105
5102707,34.6896065,0.46204257
5102708,35.32854781,0.5028159
5102709,35.05364236,0.48527312
5102710,35.56228438,0.51773137
5102712,35.41988072,0.5086441
5102713,35.23270389,0.49669972
5102716,35.75257731,0.52987486
5102717,35.56391304,0.5178353
5102720,34.88758655,0.47467634
5102721,34.76077349,0.466584
5102722,35.08939126,0.48755428
5102723,34.4958158,0.44967607
5102724,34.6942753,0.4623405
5102725,36.41653826,0.57224464
5102726,36.04204552,0.5483469
5102727,36.785758,0.595806
5102728,35.94756516,0.5423178
5102729,35.22093403,0.49594873
5102730,36.19299642,0.55797964
5102731,36.06093228,0.5495521
5102732,36.2590592,0.56219536
5102733,36.64239505,0.5866574
5102734,36.79413919,0.59634084
5102735,35.46908928,0.5117844
5102736,35.15006118,0.49142605
5102737,35.4784594,0.5123822
5102738,36.74274027,0.59306085
5102739,35.33683758,0.5033449
5102740,35.64004281,0.52269346
5102741,35.13036654,0.49016923
5102742,36.79106282,0.5961444
5102743,36.90666612,0.6035215
