SA1_CODE21,NDVI,NDBI,Population density,Age 65+,Age 4-,Population need care,Heat Sensitivity Index
5102101,0.363686939,-0.050407874,12.97677322,0.324894515,0.037974684,0.067510549,-0.5409474
5102102,0.429212966,-0.066761413,43.94503016,0.50877193,0.065789474,0.083333333,-0.6571548
5102103,0.446465991,-0.068755155,156.9624693,0.608938547,0.094972067,0.100558659,-0.6794981
5102104,0.194039971,0.028076821,640.4242301,0.343949045,0.168789809,0.073248408,-0.16186267
5102105,0.288414384,0.006782566,394.3619733,0.262357414,0.159695817,0.057034221,-0.3604156
5102106,0.316122493,-0.001622958,223.8685779,0.316546763,0.122302158,0.028776978,-0.4201604
5102107,0.283962994,0.021342954,317.0409511,0.3,0.141666667,0.091666667,-0.34281012
5102108,0.302515398,-0.034701679,286.4877058,0.346456693,0.220472441,0.141732283,-0.3911203
5102109,0.290093561,-0.05119652,101.7030959,0.359322034,0.077966102,0.040677966,-0.39617205
5102110,0.381579671,-0.099483064,0.0,0.0,0.0,0.0,-0.6277966
5102111,0.163441557,0.065615209,164.9771417,0.240963855,0.34939759,0.036144578,-0.08020753
5102112,0.381830396,-0.037480822,132.6797386,0.812807882,0.0591133,0.123152709,-0.5306764
5102113,0.364370895,-0.045297758,340.6725819,0.524115756,0.151125402,0.115755627,-0.51005554
5102114,0.329421313,-0.029901148,316.1478599,0.269230769,0.123076923,0.069230769,-0.4589067
5102115,0.3067119,-0.0303605,434.1758412,0.621428571,0.089285714,0.107142857,-0.39294595
5102116,0.219687919,0.038664367,693.9071567,0.327526132,0.18466899,0.066202091,-0.20506674
5102117,0.283422367,-0.039951513,341.0981697,0.642276423,0.154471545,0.081300813,-0.34759808
5102201,0.293710523,-0.016797516,326.682745,0.67114094,0.11409396,0.147651007,-0.3543583
5102202,0.172680575,0.01987633,637.8986867,0.713235294,0.058823529,0.073529412,-0.11177488
5102203,0.243112396,-0.034058527,464.5476773,0.466165414,0.112781955,0.067669173,-0.28392142
5102204,0.196325533,0.028575074,951.4521023,0.316628702,0.157175399,0.066059226,-0.16710354
5102205,0.16824756,0.02242519,425.4266634,0.529069767,0.081395349,0.075581395,-0.11347714
5102206,0.193297756,0.02395687,605.920444,0.41221374,0.167938931,0.038167939,-0.16033591
5102207,0.239422367,-0.037981513,409.584272,0.385,0.145,0.09,-0.27999687
5102208,0.184078872,-0.009672944,449.3942946,0.373913043,0.147826087,0.034782609,-0.16477099
5102209,0.203021671,-0.011108113,355.0404709,0.471502591,0.046632124,0.082901554,-0.20293
5102210,0.21139092,-0.006324597,391.2578328,0.5703125,0.03515625,0.1015625,-0.20978351
5102211,0.185474571,0.034102472,873.694207,0.307971014,0.15942029,0.061594203,-0.14502472
5102212,0.196166185,-0.030470191,315.2855728,0.492146597,0.031413613,0.104712042,-0.19829927
5102213,0.247732671,0.028994762,436.6987179,0.582568807,0.137614679,0.201834862,-0.24459028
5102214,0.134483009,0.080689699,372.2584469,0.525477707,0.073248408,0.066878981,-0.023442164
5102215,0.267282241,-0.01174265,606.3947078,0.375757576,0.121212121,0.127272727,-0.31973132
5102216,0.160035156,0.042319974,523.872679,0.772151899,0.107594937,0.14556962,-0.06478153
5102217,0.18552139,-0.002760101,373.5881842,0.589147287,0.046511628,0.131782946,-0.15487064
5102218,0.150238962,0.014985454,612.9807692,0.588235294,0.161764706,0.132352941,-0.066113904
5102219,0.35423395,-0.036807561,184.5918083,0.350943396,0.071698113,0.090566038,-0.50876987
5102220,0.199864446,-0.000587,642.7444795,0.306748466,0.147239264,0.079754601,-0.19083467
5102301,0.208283137,0.01028069,793.3950866,0.568527919,0.223350254,0.269035533,-0.16432701
5102302,0.14371659,-0.062005318,35.51096331,0.349206349,0.095238095,0.19047619,-0.11369421
5102303,0.328218822,-0.081791555,396.3691377,0.389312977,0.083969466,0.06870229,-0.47683293
5102304,0.228411496,-0.019971588,468.9223979,1.376470588,0.090196078,0.243137255,-0.180819
5102306,0.228292753,0.01161809,385.9289617,0.646017699,0.137168142,0.17699115,-0.21365586
5102307,0.264881212,-0.041353121,496.6686856,0.445121951,0.140243902,0.079268293,-0.3264887
5102308,0.178196876,0.056854541,811.7816092,0.327433628,0.185840708,0.185840708,-0.109433085
5102309,0.291262472,-0.031270853,325.8980301,0.346666667,0.106666667,0.062222222,-0.38392442
5102310,0.310634359,-0.066020307,412.1376812,0.252747253,0.137362637,0.098901099,-0.43766063
5102311,0.166717136,0.050279287,859.2661403,0.4,0.151351351,0.167567568,-0.09015791
5102312,0.227025495,0.002370823,878.962536,0.491803279,0.172131148,0.172131148,-0.21907383
5102314,0.215657488,0.012701059,653.3142585,0.554744526,0.233576642,0.277372263,-0.17759193
5102315,0.21228787,0.014166327,609.264854,0.578512397,0.181818182,0.181818182,-0.18011546
5102316,0.16840286,0.066468128,1199.304751,1.328502415,0.096618357,0.217391304,-0.024255753
5102317,0.152886333,0.064562524,663.6807818,0.27607362,0.26993865,0.116564417,-0.057855293
5102318,0.257070557,-0.011559657,619.4081211,0.561111111,0.133333333,0.138888889,-0.2859843
