SA1_7DIG16,mean
1100701,984
1100702,1055
1100703,1010
1100704,1026
1100705,979
1100706,942
1100707,1047
1100708,1111
1100709,1048
1100710,1013
1100801,955
1100802,1001
1100803,852
1100804,883
1100805,868
1100806,932
1100807,958
1100808,953
1100809,0
1100810,1056
1100811,986
1100812,1112
1100813,1037
1100814,1003
1100815,940
1100816,908
1100817,928
1100818,902
1100819,1015
1100820,952
1100821,983
1100822,1006
1100823,1051
1100901,1045
1100902,989
1100904,1009
1100905,991
1100907,1004
1100908,1053
1100909,988
1100910,1022
1100911,951
1100912,951
1100913,1003
1100914,1014
1100915,972
1100916,999
1100917,1018
1100918,1033
1100919,1027
1100920,927
1100921,1043
1100923,973
1100924,0
1100925,1019
1100926,940
1100927,1032
1100928,962
1100929,965
1101001,1044
1101002,1155
1101003,1074
1101004,1037
1101006,988
1101007,1015
1101008,958
1101009,1005
1101010,979
1101011,966
1101012,970
1101013,0
1101014,1096
1101015,976
1101016,1097
1101017,1014
1101101,1108
1101102,1145
1101103,1116
1101104,1000
1101105,1096
1101106,1086
1101107,1058
1101108,938
1101109,1144
1101110,1135
1101111,1114
1101112,1112
1101113,1088
1101115,1104
1101116,1052
1101117,1059
1101118,1018
1101119,1039
1101120,1107
1101122,1086
1101123,1078
1101125,1015
1101126,1088
1101127,1079
1101128,1061
1101129,1095
1101130,1135
1101131,1143
1101132,1109
1101133,1125
1101134,1097
1101135,1139
1101136,1109
1101137,1117
1101139,1111
1101140,1105
1101141,1043
1101142,1153
1101143,1137
1101144,1128
1101145,1073
1101146,1119
1101147,1134
1101148,1161
1101149,1132
1101150,1083
1101151,1108
1101152,1105
1101201,1110
1101202,1182
1101203,1132
1101204,1173
1101205,1134
1101206,1149
1101207,1002
1101208,988
1101209,1102
1101210,1094
1101211,1116
1101212,1119
1101213,1113
1101214,1127
1101215,1156
1101216,1107
1101217,967
1101218,1035
1101219,1015
1101220,1009
1101221,1063
1101222,1100
1101223,1096
1101224,1149
1101225,0
1101226,0
1101227,1159
1101228,1056
1101229,939
1101230,858
1101231,1092
1101232,1110
1101301,875
1101302,895
1101303,875
1101304,913
1101305,1060
1101306,1086
1101307,999
1101308,943
1101401,961
1101402,935
1101403,928
1101404,880
1101405,924
1101406,934
1101407,994
1101408,954
1101409,970
1101410,956
1101411,979
1101412,949
1101413,879
1101414,1027
1101415,985
1101417,947
1101418,980
1101419,971
1101501,0
1101502,0
1101503,899
1101505,1092
1101511,886
1101512,1100
1101514,985
1101515,994
1101516,1042
1101517,1021
1101518,1026
1101519,1005
1101520,1075
1101521,1014
1101522,1010
1101523,1047
1101524,1072
1101601,0
1101602,954
1101603,1044
1101604,1025
1101605,1122
1101606,1059
1101607,1003
1101608,1051
1101609,1013
1101610,1021
1101611,1099
1101612,0
1101613,1028
1101614,987
1101615,1027
1101616,955
1101617,1007
1101618,1067
1101619,925
1101620,1039
1101701,848
1101702,868
1101703,966
1101704,874
1101705,851
1101706,878
1101707,0
1101708,987
1101709,970
1101710,1015
1101711,978
1101712,882
1101713,945
1101714,0
1101715,0
1101716,882
1101717,921
1101718,842
1101719,910
1101720,907
1101721,812
1101722,858
1101801,977
1101802,1001
1101803,1004
1101804,1055
1101805,1051
1101806,912
1101807,909
1101808,852
1101809,960
1101810,894
1101811,895
1101812,955
1101813,1069
1101814,979
1101815,978
1101816,1009
1101817,976
1101818,937
1101819,929
1101820,792
1101821,928
1101822,942
1101823,896
1101824,0
1101901,842
1101902,924
1101903,865
1101904,876
1101905,868
1101906,896
1101907,857
1101909,874
1101911,1078
1101912,1019
1101913,1023
1101914,987
1101915,1035
1101916,1027
1101917,964
1101918,942
1101919,1027
1101920,959
1101921,1018
1101922,1013
1101923,878
1102001,986
1102002,967
1102003,906
1102004,919
1102005,954
1102006,953
1102007,994
1102008,927
1102009,0
1102010,0
1102011,1010
1102012,0
1102013,915
1102014,977
1102015,939
1102016,995
1102017,975
1102018,1002
1102019,1068
1102020,1007
1102021,0
1102022,921
1102023,945
1102024,1031
1102025,982
1102026,1065
1102027,987
1102028,967
1102029,1017
1102030,871
1102031,988
1102032,981
1102101,1032
1102102,1032
1102104,1012
1102105,967
1102106,959
1102107,1023
1102108,1054
1102109,927
1102201,1113
1102301,901
1102302,960
1102303,950
1102304,948
1102305,880
1102306,847
1102307,814
1102308,794
1102309,960
1102310,0
1102401,995
1102402,918
1102403,865
1102404,925
1102405,1032
1102406,977
1102407,951
1102408,869
1102409,1039
1102410,941
1102411,943
1102412,1019
1102501,0
1102502,1005
1102503,972
1102504,917
1102505,934
1102506,1043
1102507,1017
1102508,1001
1102509,1011
1102510,1017
1102511,1020
1102512,984
1102513,919
1102514,908
1102516,1021
1102517,1021
1102518,974
1102519,992
1102520,932
1102521,999
1102522,1050
1102523,950
1102524,1036
1102525,933
1102526,982
1102527,966
1102528,907
1102529,934
1102530,1015
1102531,0
1102532,915
1102601,944
1102602,953
1102603,1012
1102604,976
1102605,969
1102606,1067
1102607,952
1102608,936
1102609,907
1102610,862
1102611,953
1102612,829
1102613,964
1102614,991
1102615,1035
1102616,1049
1102617,992
1102618,1005
1102619,947
1102620,887
1102621,860
1102622,951
1102623,937
1102701,869
1102702,915
1102703,1005
1102704,955
1102705,1009
1102706,908
1102707,938
1102708,956
1102709,975
1102710,1031
1102711,0
1102712,1041
1102713,982
1102714,0
1102715,982
1102716,0
1102717,983
1102718,976
1102719,941
1102720,1008
1102721,978
1102722,837
1102723,993
1102724,981
1102725,924
1102726,995
1102727,977
1102728,897
1102729,926
1102801,0
1102802,1108
1102803,1121
1102804,1049
1102805,1087
1102806,1020
1102807,1154
1102808,1110
1102809,1047
1102810,1095
1102811,1065
1102812,1090
1102813,1075
1102814,1096
1102815,1083
1102816,1130
1102817,1129
1102818,1070
1102901,1101
1102902,1102
1102903,987
1102904,957
1102905,1046
1102906,1116
1102907,1014
1102908,1033
1102909,1058
1102910,1049
1102911,1080
1102912,1145
1102913,1129
1102914,1053
1102915,1032
1102916,1005
1102917,1090
1102918,1087
1102919,994
1102920,0
1102921,0
1102922,1048
1102923,991
1102924,1034
1102925,986
1102926,1039
1102927,1093
1102928,959
1103002,1044
1103003,1091
1103004,1025
1103005,1020
1103006,1010
1103007,1064
1103008,1061
1103009,1045
1103010,1003
1103011,948
1103012,1051
1103013,0
1103014,1029
1103101,1054
1103102,1035
1103103,916
1103104,889
1103105,1010
1103106,951
1103107,0
1103108,1064
1103109,1030
1103110,1028
1103111,1000
1103112,1102
1103113,1164
1103114,1109
1103115,1128
1103116,1084
1103117,1046
1103118,1132
1103119,1110
1103120,1041
1103121,1033
1103122,1018
1103123,934
1103124,1048
1103125,973
1103126,702
1103127,1012
1103128,1007
1103129,1063
1103130,1050
1103131,938
1103132,0
1103133,1034
1103134,1006
1103135,1010
1103136,1065
1103137,927
1103138,1010
1103201,998
1103202,960
1103203,1039
1103204,986
1103205,1029
1103206,907
1103207,1056
1103208,1012
1103210,976
1103211,988
1103212,1014
1103213,1021
1103214,1006
1103215,1005
1103216,984
1103217,971
1103218,1059
1103219,1087
1103220,1057
1103221,1012
1103223,0
1103224,979
1103225,1007
1103226,1033
1103227,900
1103228,1051
1103229,1011
1103230,1022
1103231,1021
1103232,989
1103233,1022
1103234,1081
1103235,977
1103236,971
1103237,964
1103238,1168
1103239,1073
1103240,988
1103241,1002
1103242,980
1103243,1114
1103244,906
1103245,1067
1103246,1007
1103247,1107
1103248,989
1103301,1028
1103302,1001
1103303,1000
1103304,962
1103305,1018
1103306,992
1103307,969
1103308,956
1103309,0
1103310,1013
1103311,996
1103312,1081
1103313,1056
1103314,923
1103315,1006
1103316,0
1103317,961
1103318,984
1103319,968
1103320,0
1103401,1015
1103402,998
1103403,943
1103404,1007
1103405,973
1103406,947
1103407,1095
1103408,1050
1103409,994
1103410,960
1103411,1005
1103412,968
1103413,1043
1103414,939
1103415,938
1103416,998
1103417,941
1103418,845
1103419,1043
1103501,1004
1103502,956
1103503,987
1103504,1022
1103505,1043
1103506,1046
1103507,904
1103508,1066
1103509,977
1103510,970
1103511,990
1103512,953
1103513,985
1103514,960
1103515,927
1103516,976
1103517,1092
1103601,1075
1103602,1063
1103603,1007
1103604,1008
1103605,1025
1103606,1021
1103607,1137
1103608,1013
1103609,1045
1103610,997
1103611,949
1103612,874
1103613,1013
1103614,959
1103615,991
1103616,1007
1103617,1056
1103618,1053
1103619,973
1103620,931
1103621,1054
1103622,1010
1103701,1007
1103702,1049
1103703,1043
1103704,1064
1103705,1015
1103706,991
1103707,1069
1103708,1085
1103709,1047
1103710,1025
1103711,1003
1103712,1047
1103713,1026
1103714,1027
1103801,1020
1103802,1059
1103803,971
1103804,932
1103805,1033
1103806,954
1103807,972
1103808,948
1103809,1037
1103810,1052
1103811,1016
1103812,1071
1103813,1002
1103814,1051
1103815,1065
1103816,1030
1103817,971
1103901,1132
1103902,1069
1103903,1082
1103904,1068
1103905,1037
1103906,1057
1103908,1107
1103909,1059
1103911,1093
1103912,1071
1103913,1059
1103914,1064
1103915,1114
1103916,1041
1103917,1086
1103918,1079
1103919,1025
1103920,1072
1103921,1101
1103922,1072
1103923,1095
1103924,816
1103925,1100
1103926,1134
1103927,1067
1103928,1098
1103929,1064
1103930,1001
1103931,1122
1104001,949
1104002,992
1104003,1070
1104004,998
1104005,1047
1104006,991
