SA1_CODE21,mean
5102101,-0.050407874
5102102,-0.066761413
5102103,-0.068755155
5102104,0.028076821
5102105,0.006782566
5102106,-0.001622958
5102107,0.021342954
5102108,-0.034701679
5102109,-0.05119652
5102110,-0.099483064
5102111,0.065615209
5102112,-0.037480822
5102113,-0.045297758
5102114,-0.029901148
5102115,-0.0303605
5102116,0.038664367
5102117,-0.039951513
5102201,-0.016797516
5102202,0.01987633
5102203,-0.034058527
5102204,0.028575074
5102205,0.02242519
5102206,0.02395687
5102207,-0.037981513
5102208,-0.009672944
5102209,-0.011108113
5102210,-0.006324597
5102211,0.034102472
5102212,-0.030470191
5102213,0.028994762
5102214,0.080689699
5102215,-0.01174265
5102216,0.042319974
5102217,-0.002760101
5102218,0.014985454
5102219,-0.036807561
5102220,-5.87E-04
5102301,0.01028069
5102302,-0.062005318
5102303,-0.081791555
5102304,-0.019971588
5102306,0.01161809
5102307,-0.041353121
5102308,0.056854541
5102309,-0.031270853
5102310,-0.066020307
5102311,0.050279287
5102312,0.002370823
5102314,0.012701059
5102315,0.014166327
5102316,0.066468128
5102317,0.064562524
5102318,-0.011559657
5102319,-0.020721351
5102320,-0.018799482
5102321,0.057864249
5102322,0.088180032
5102323,0.01955732
5102324,-0.011819153
5102325,0.02402639
5102326,-0.030160444
5102401,0.072816739
5102402,0.019016571
5102403,-0.03536701
5102404,-0.033310579
5102405,-0.016925121
5102406,-0.03607611
5102407,-0.00118975
5102408,0.005110016
5102409,0.040587913
5102410,0.052619624
5102411,0.004769733
5102412,0.016864451
5102413,-0.010505787
5102414,0.009463937
5102415,0.025819931
5102416,0.014738496
5102417,0.03709704
5102418,-0.171382641
5102419,0.022455718
5102420,0.070645512
5102421,0.057133991
5102422,-0.030293425
5102423,0.026063714
5102424,0.044840841
5102425,0.036205859
5102426,0.027149571
5102427,0.018034578
5102428,0.039372981
5102429,-0.004384956
5102430,-0.006743905
5102431,0.048175817
5102432,0.036389859
5102433,0.045239912
5102434,0.011275295
5102436,-0.015960324
5102437,-0.045589292
5102438,0.046856911
5102439,0.026678898
5102440,0.039573675
5102441,-0.068671708
5102501,0.005766024
5102503,-0.002425002
5102504,-1.49E-04
5102505,-0.015071621
5102506,-0.032790748
5102507,-0.016313243
5102508,0.044920055
5102509,0.043562683
5102510,0.018559794
5102511,0.042224034
5102512,0.027883326
5102513,7.45E-04
5102514,0.006048264
5102515,0.019463588
5102516,0.005911557
5102517,0.005227899
5102518,0.030735347
5102519,-8.57E-04
5102520,-0.025902114
5102522,0.01290185
5102523,0.020484567
5102524,0.071138006
5102525,0.014632339
5102526,0.032211642
5102601,-0.014474654
5102602,1.35E-04
5102603,0.037200255
5102604,0.016015629
5102605,0.040222911
5102606,0.011286186
5102607,0.045406541
5102608,0.024410793
5102609,0.03282282
5102611,0.013917025
5102612,0.010213945
5102613,-0.00504283
5102614,0.038061487
5102615,0.015593789
5102616,-0.023674125
5102617,0.067703165
5102705,0.025143385
5102706,-0.09770492
5102707,6.57E-04
5102708,-0.04153556
5102709,-0.007411143
5102710,0.02608289
5102712,0.017630564
5102713,0.074835476
5102716,0.011560312
5102717,-0.014559119
5102720,-0.007176208
5102721,0.008736154
5102722,-0.006131157
5102723,-0.009502492
5102724,0.024558592
5102725,-0.008341312
5102726,0.035080513
5102727,0.05790559
5102728,0.050735967
5102729,0.060837541
5102730,0.078192962
5102731,0.078949871
5102732,0.036640739
5102733,0.060977083
5102734,0.040085448
5102735,0.003489495
5102736,0.054531117
5102737,0.058939589
5102738,0.070300326
5102739,0.018808645
5102740,-0.05364272
5102741,-0.101478463
5102742,0.019026784
5102743,-0.022809692
5102744,0.021346301
5102745,0.03431704
5102746,0.031434921
5102747,-0.077634303
5102748,0.019465896
5102749,0.099067587
5102750,0.07127815
5102751,0.054452397
5102801,0.048499819
5102802,0.022624711
5102804,0.038486285
5102805,0.014647899
5102807,-0.009900883
