SA1_CODE21,mean
5102101,0.363686939
5102102,0.429212966
5102103,0.446465991
5102104,0.194039971
5102105,0.288414384
5102106,0.316122493
5102107,0.283962994
5102108,0.302515398
5102109,0.290093561
5102110,0.381579671
5102111,0.163441557
5102112,0.381830396
5102113,0.364370895
5102114,0.329421313
5102115,0.3067119
5102116,0.219687919
5102117,0.283422367
5102201,0.293710523
5102202,0.172680575
5102203,0.243112396
5102204,0.196325533
5102205,0.16824756
5102206,0.193297756
5102207,0.239422367
5102208,0.184078872
5102209,0.203021671
5102210,0.21139092
5102211,0.185474571
5102212,0.196166185
5102213,0.247732671
5102214,0.134483009
5102215,0.267282241
5102216,0.160035156
5102217,0.18552139
5102218,0.150238962
5102219,0.35423395
5102220,0.199864446
5102301,0.208283137
5102302,0.14371659
5102303,0.328218822
5102304,0.228411496
5102306,0.228292753
5102307,0.264881212
5102308,0.178196876
5102309,0.291262472
5102310,0.310634359
5102311,0.166717136
5102312,0.227025495
5102314,0.215657488
5102315,0.21228787
5102316,0.16840286
5102317,0.152886333
5102318,0.257070557
5102319,0.287381322
5102320,0.260526171
5102321,0.150404243
5102322,0.153028438
5102323,0.224059572
5102324,0.23120323
5102325,0.217341319
5102326,0.240643127
5102401,0.107877544
5102402,0.180952994
5102403,0.28523103
5102404,0.252472045
5102405,0.213346766
5102406,0.258497055
5102407,0.205420207
5102408,0.181734509
5102409,0.16825189
5102410,0.180431771
5102411,0.224106339
5102412,0.219008977
5102413,0.237164099
5102414,0.24267124
5102415,0.201947483
5102416,0.151820685
5102417,0.182962437
5102418,0.546188129
5102419,0.194127314
5102420,0.127589729
5102421,0.147021928
5102422,0.30575857
5102423,0.225839332
5102424,0.189009136
5102425,0.191684466
5102426,0.198071896
5102427,0.121944739
5102428,0.209056408
5102429,0.190449335
5102430,0.20413571
5102431,0.201321814
5102432,0.22989648
5102433,0.136547523
5102434,0.222307158
5102436,0.210248667
5102437,0.362791486
5102438,0.223381292
5102439,0.193574764
5102440,0.153600872
5102441,0.336432486
5102501,0.198037054
5102503,0.233624238
5102504,0.228893398
5102505,0.211675715
5102506,0.227857434
5102507,0.24766214
5102508,0.131482077
5102509,0.157934222
5102510,0.210314246
5102511,0.169141966
5102512,0.190894375
5102513,0.239755767
5102514,0.200264389
5102515,0.189362591
5102516,0.222968674
5102517,0.234462187
5102518,0.199927113
5102519,0.241768897
5102520,0.267780984
5102522,0.25391451
5102523,0.129653821
5102524,0.09687743
5102525,0.221360747
5102526,0.075688334
5102601,0.269334895
5102602,0.246088413
5102603,0.04350798
5102604,0.167110058
5102605,0.227022824
5102606,0.237078529
5102607,0.122556035
5102608,0.235083598
5102609,0.205821767
5102611,0.218526297
5102612,0.280649023
5102613,0.24626767
5102614,0.17566138
5102615,0.271832692
5102616,0.147971325
5102617,0.247625172
5102705,0.202523917
5102706,0.394877221
5102707,0.231219436
5102708,0.304394607
5102709,0.293147349
5102710,0.168169942
5102712,0.168747741
5102713,0.160232592
5102716,0.188614555
5102717,0.19366227
5102720,0.236551361
5102721,0.179094866
5102722,0.238581402
5102723,0.265617437
5102724,0.196003244
5102725,0.244222925
5102726,0.183718938
5102727,0.156971805
5102728,0.134579773
5102729,0.141854136
5102730,0.155059443
5102731,0.136010076
5102732,0.172578782
5102733,0.148075582
5102734,0.164008048
5102735,0.202193056
5102736,0.140930636
5102737,0.161459224
5102738,0.143853255
5102739,0.166060168
5102740,0.316245493
5102741,0.361657411
5102742,0.213954662
5102743,0.245824507
5102744,0.218557853
5102745,0.171409647
5102746,0.166929616
5102747,0.36321464
5102748,0.187911649
5102749,0.120732255
5102750,0.112434735
5102751,0.132339671
5102801,0.192513402
5102802,0.221214039
5102804,0.216700183
5102805,0.229056976
5102807,0.254200335
5102808,0.16148296
5102809,0.141711381
5102811,0.152973538
5102812,0.222926539
5102813,0.269800832
5102814,0.241591031
5102815,0.251266732
5102816,0.221253644
5102817,0.149510271
5102818,0.228324538
5102819,0.215067815
5102820,0.219127696
5102821,0.19843857
5102822,0.206479453
5102823,0.322647753
5102824,0.221310147
5102825,0.17632406
5102826,0.1318919
5102827,0.142813659
5102828,0.151880022
5102829,0.250581757
5102830,0.08679386
5102901,0.153623228
5102904,0.309585034
5102905,0.267374942
5102907,0.256648968
5102909,0.220243672
5102910,0.305781567
5102912,0.228602694
5102913,0.301123408
5102914,0.33723103
5102915,0.234021015
5102916,0.269074545
5102917,0.319948219
5102919,0.240738017
5102920,0.247702043
5102921,0.247733088
5102922,0.152290506
5102923,0.223677301
5102924,0.219859993
5102925,0.190656753
5102926,0.216566221
5102927,0.250374841
5102928,0.251349334
5102929,0.207392707
5102930,0.258463633
5102931,0.233441772
5102932,0.252890873
5103001,0.180740799
5103002,0.257410749
5103003,0.209038471
5103004,0.284268001
5103005,0.263660068
5103006,0.333299178
5103007,0.258950399
5103008,0.261388239
5103009,0.212997357
5103010,0.251996248
5103011,0.253047736
5103012,0.23473096
5103013,0.28902295
5103014,0.228281888
5103015,0.293107468
5103016,0.268248422
5103017,0.296948659
5103018,0.277132708
5103101,0.270533992
5103102,0.490461659
5103103,0.166442658
5103104,0.257821716
5103105,0.302155518
5103106,0.241392916
5103107,0.263314308
5103108,0.291940879
5103109,0.304086241
5103110,0.203537128
5103111,0.24584049
5103112,0.209167082
5103113,0.255897676
5103114,0.275268445
5103115,0.291810495
5103116,0.226226909
5103117,0.215682775
5103118,0.254831877
5103119,0.205245317
5103120,0.163606592
5103121,0.208341333
5103201,0.147271007
5103202,0.150288023
5103203,0.21770554
5103204,0.223372968
5103205,0.294881859
5103206,0.269588386
5103207,0.341255802
5103208,0.237521067
5103209,0.271272521
5103210,0.233881836
5103211,0.233665445
5103212,0.166640479
5103213,0.253242946
5103214,0.227609791
5103215,0.197988384
5103216,0.209173791
5103217,0.175890215
5103218,0.234764695
5103301,0.283009693
5103302,0.298228424
5103303,0.27724909
5103304,0.303176935
5103305,0.30423829
5103306,0.330958847
5103307,0.269009367
5103308,0.294443194
5103309,0.326987372
5103310,0.295791108
5103311,0.257308207
5103312,0.266191762
5103313,0.296884008
5103314,0.363176656
5103315,0.274122834
5103316,0.293361867
5103317,0.278529366
5103318,0.24904257
