SA1_CODE21,mean
1100701,1001
1100702,1078
1100703,951
1100704,986
1100705,965
1100706,1001
1100707,1026
1100708,1058
1100709,1084
1100710,1014
1100801,1017
1100802,1071
1100803,839
1100804,887
1100805,732
1100806,1027
1100807,944
1100808,968
1100809,0
1100810,1128
1100811,1024
1100812,1086
1100813,1103
1100814,1063
1100815,931
1100816,868
1100817,975
1100818,921
1100819,1123
1100820,1020
1100821,1130
1100822,1135
1100823,1052
1100901,1028
1100902,1046
1100904,1089
1100905,1016
1100907,928
1100908,896
1100909,849
1100910,849
1100911,949
1100912,966
1100913,1029
1100914,1015
1100915,879
1100916,986
1100917,830
1100918,997
1100919,968
1100920,817
1100921,939
1100923,1028
1100924,0
1100925,922
1100926,863
1100927,1045
1100928,886
1100929,879
1101001,887
1101002,1170
1101003,1140
1101004,1073
1101006,829
1101007,909
1101008,858
1101009,1015
1101010,907
1101011,
1101012,1020
1101013,0
1101014,1165
1101015,864
1101016,1101
1101017,934
1101101,1105
1101102,1157
1101103,1122
1101104,1050
1101105,1140
1101106,1147
1101107,1115
1101108,963
1101109,1151
1101110,1147
1101111,1170
1101112,1131
1101113,1137
1101115,1229
1101116,1065
1101117,1107
1101118,1072
1101119,1175
1101120,1178
1101122,1143
1101123,1237
1101125,1066
1101126,1084
1101127,1153
1101128,1181
1101129,1207
1101130,1207
1101131,1193
1101132,1198
1101133,1154
1101134,1152
1101135,1174
1101136,1165
1101137,1151
1101139,1188
1101140,1152
1101141,1138
1101142,1196
1101143,1188
1101144,1234
1101145,1195
1101146,1220
1101147,1226
1101148,1216
1101149,1227
1101150,1181
1101151,1194
1101152,1217
1101201,1097
1101202,1265
1101203,1157
1101204,1230
1101205,1192
1101206,1198
1101207,1073
1101208,1036
1101209,1199
1101210,1098
1101211,1171
1101212,1113
1101213,1150
1101214,1161
1101215,1086
1101216,1136
1101217,
1101218,1048
1101219,951
1101220,1060
1101221,1094
1101222,1120
1101223,1051
1101224,1147
1101225,0
1101226,0
1101227,1230
1101228,1055
1101229,959
1101230,864
1101231,1124
1101232,1183
1101301,901
1101302,940
1101303,953
1101304,965
1101305,1064
1101306,1081
1101307,1009
1101308,1009
1101401,931
1101402,909
1101403,909
1101404,878
1101405,901
1101406,984
1101407,1035
1101408,1004
1101409,1022
1101410,885
1101411,915
1101412,980
1101413,859
1101414,1020
1101415,943
1101417,
1101418,1095
1101419,987
1101501,0
1101502,0
1101503,925
1101505,1072
1101511,927
1101512,1032
1101514,1087
1101515,1044
1101516,1100
1101517,1070
1101518,1088
1101519,1080
1101520,1098
1101521,1071
1101522,1075
1101523,1121
1101524,1059
1101601,0
1101602,929
1101603,1037
1101604,1058
1101605,1035
1101606,1088
1101607,1000
1101608,1085
1101609,1069
1101610,1065
1101611,978
1101612,0
1101613,1097
1101614,964
1101615,1049
1101616,924
1101617,964
1101618,1074
1101619,1016
1101620,921
1101701,887
1101702,915
1101703,984
1101704,840
1101705,737
1101706,826
1101707,0
1101708,1019
1101709,1066
1101710,1055
1101711,1061
1101712,978
1101713,939
1101714,0
1101715,0
1101716,939
1101717,896
1101718,833
1101719,987
1101720,1039
1101721,936
1101722,957
1101801,1042
1101802,1041
1101803,1081
1101804,1014
1101805,1119
1101806,901
1101807,938
1101808,907
1101809,989
1101810,952
1101811,976
1101812,912
1101813,1049
1101814,1009
1101815,995
1101816,983
1101817,1051
1101818,1012
1101819,1028
1101820,894
1101821,990
1101822,912
1101823,831
1101824,0
1101901,873
1101902,837
1101903,834
1101904,924
1101905,884
1101906,974
1101907,970
1101909,863
1101911,984
1101912,1002
1101913,1003
1101914,1044
1101915,1078
1101916,1055
1101917,1078
1101918,1059
1101919,1014
1101920,929
1101921,1083
1101922,942
1101923,967
1102001,1066
1102002,1055
1102003,989
1102004,941
1102005,966
1102006,904
1102007,1052
1102008,1045
1102009,0
1102010,0
1102011,1036
1102012,0
1102013,970
1102014,1035
1102015,1010
1102016,1013
1102017,1059
1102018,1005
1102019,1020
1102020,1003
1102021,0
1102022,963
1102023,1072
1102024,966
1102025,965
1102026,1017
1102027,1042
1102028,1052
1102029,1012
1102030,904
1102031,1084
1102032,996
1102101,1013
1102102,956
1102104,972
1102105,1048
1102106,971
1102107,1036
1102108,1011
1102109,1035
1102201,
1102301,879
1102302,1009
1102303,1047
1102304,1011
1102305,934
1102306,888
1102307,852
1102308,830
1102309,948
1102310,0
1102401,975
1102402,1017
1102403,900
1102404,1002
1102405,1016
1102406,1025
1102407,1032
1102408,879
1102409,1028
1102410,971
1102411,991
1102412,1014
1102501,0
1102502,972
1102503,865
1102504,825
1102505,895
1102506,1011
1102507,1028
1102508,1003
1102509,986
1102510,1063
1102511,1034
1102512,999
1102513,1018
1102514,891
1102516,1020
1102517,983
1102518,1061
1102519,1036
1102520,979
1102521,983
1102522,1042
1102523,1077
1102524,1059
1102525,991
1102526,1052
1102527,1010
1102528,906
1102529,915
1102530,1001
1102531,0
1102532,892
1102601,947
1102602,973
1102603,1021
1102604,959
1102605,978
1102606,1028
1102607,975
1102608,952
1102609,904
1102610,876
1102611,1044
1102612,943
1102613,988
1102614,993
1102615,1015
1102616,1051
1102617,947
1102618,1034
1102619,1055
1102620,864
1102621,934
1102622,1034
1102623,842
1102701,973
1102702,887
1102703,1040
1102704,893
1102705,928
1102706,951
1102707,953
1102708,963
1102709,1008
1102710,1001
1102711,0
1102712,1022
1102713,1041
1102714,0
1102715,
1102716,0
1102717,970
1102718,908
1102719,917
1102720,1035
1102721,970
1102722,650
1102723,1014
1102724,1005
1102725,981
1102726,1039
1102727,990
1102728,854
1102729,920
1102801,0
1102802,1115
1102803,1069
1102804,1061
1102805,1102
1102806,1031
1102807,1061
1102808,1155
1102809,1124
1102810,1093
1102811,1060
1102812,1105
1102813,1007
1102814,1051
1102815,1077
1102816,1118
1102817,1119
1102818,1124
1102901,1118
1102902,1068
1102903,1044
1102904,1043
1102905,1082
1102906,1072
1102907,1071
1102908,1082
1102909,1094
1102910,1073
1102911,1040
1102912,1096
1102913,1162
1102914,1190
1102915,1125
1102916,1053
1102917,1086
1102918,1079
1102919,954
1102920,0
1102921,0
1102922,1163
1102923,1103
1102924,1133
1102925,1014
1102926,1112
1102927,1066
1102928,912
1103002,1080
1103003,991
1103004,1038
1103005,1086
1103006,1112
1103007,1089
1103008,1088
1103009,1043
1103010,962
1103011,988
1103012,1083
1103013,0
1103014,1109
1103101,1146
1103102,1014
1103103,907
1103104,840
1103105,1049
1103106,954
1103107,0
1103108,1139
1103109,1132
1103110,1017
1103111,1018
1103112,1219
1103113,1155
1103114,1178
1103115,1184
1103116,1140
1103117,1065
1103118,1201
1103119,1102
1103120,1082
1103121,1064
1103122,1032
1103123,881
1103124,1068
1103125,998
1103126,862
1103127,1066
1103128,1071
1103129,1138
1103130,1137
1103131,889
1103132,0
1103133,1112
1103134,1048
1103135,1061
1103136,1004
1103137,731
1103138,1005
1103201,1000
1103202,874
1103203,1075
1103204,830
1103205,852
1103206,913
1103207,930
1103208,872
1103210,845
1103211,963
1103212,989
1103213,1069
1103214,1033
1103215,977
1103216,1023
1103217,990
1103218,1058
1103219,930
1103220,932
1103221,896
1103223,0
1103224,875
1103225,1058
1103226,861
1103227,756
1103228,850
1103229,861
1103230,894
1103231,952
1103232,944
1103233,1080
1103234,1051
1103235,855
1103236,785
1103237,846
1103238,1126
1103239,994
1103240,831
1103241,898
1103242,809
1103243,1071
1103244,900
1103245,829
1103246,1103
1103247,1171
1103248,840
1103301,1029
1103302,1025
1103303,1045
1103304,1057
1103305,1068
1103306,1061
1103307,992
1103308,1051
1103309,0
1103310,1109
1103311,1052
1103312,1110
1103313,1076
1103314,1070
1103315,1074
1103316,0
1103317,1024
1103318,1056
1103319,1035
1103320,0
1103401,1006
1103402,984
1103403,967
1103404,999
1103405,1000
1103406,987
1103407,1154
1103408,1085
1103409,1042
1103410,985
1103411,1091
1103412,1001
1103413,1124
1103414,903
1103415,940
1103416,979
1103417,937
1103418,895
1103419,1054
1103501,1074
1103502,941
1103503,1057
1103504,1026
1103505,1095
1103506,1091
1103507,972
1103508,1127
1103509,1011
1103510,1020
1103511,1052
1103512,997
1103513,1041
1103514,1006
1103515,949
1103516,1009
1103517,1045
1103601,1117
1103602,1120
1103603,1048
1103604,1075
1103605,1098
1103606,1038
1103607,1165
1103608,1037
1103609,1131
1103610,966
1103611,1041
1103612,870
1103613,1068
1103614,1051
1103615,1019
1103616,1079
1103617,1129
1103618,1139
1103619,954
1103620,919
1103621,1113
1103622,1075
1103701,996
1103702,1036
1103703,989
1103704,1051
1103705,1047
1103706,1001
1103707,1105
1103708,1035
1103709,1035
1103710,1047
1103711,1013
1103712,1021
1103713,939
1103714,1011
1103801,1112
1103802,1083
1103803,1029
1103804,1002
1103805,1090
1103806,978
1103807,1064
1103808,930
1103809,1065
1103810,1102
1103811,1057
1103812,1084
1103813,1058
1103814,1020
1103815,1067
1103816,1061
1103817,1072
1103901,1108
1103902,1113
1103903,1065
1103904,1086
1103905,1108
1103906,1009
1103908,1146
1103909,1001
1103911,1053
1103912,1047
1103913,1093
1103914,1094
1103915,1095
1103916,1062
1103917,1071
1103918,1106
1103919,976
1103920,983
1103921,1066
1103922,1154
1103923,1142
1103924,831
1103925,1106
1103926,1121
1103927,1095
1103928,982
1103929,1084
1103930,1095
1103931,1001
1104001,989
1104002,901
1104003,1052
1104004,1022
1104005,1088
1104006,967
1104007,944
1104008,0
1104009,893
1104010,870
1104011,970
1104012,1008
1104013,991
1104014,856
1104015,966
1104016,1004
1104017,887
1104018,953
1104019,908
1104020,910
1104021,869
1104022,846
1104023,906
1104024,899
1104025,919
1104026,903
1104027,900
1104028,1056
1104029,895
1104030,887
1104031,841
1104032,940
1104033,955
1104034,1003
1104035,982
1104036,1016
1104037,932
1104038,949
1104039,974
1104040,976
1104041,909
1104042,867
1104043,920
1104044,957
1104045,919
1104046,947
1104047,936
1104048,960
1104049,967
1104050,964
1104051,998
1104052,1036
1104053,927
1104054,1067
1104055,1081
1104056,1060
1104057,1091
1104058,1040
1104101,1061
1104102,1089
1104103,1112
1104104,1062
1104105,1128
1104106,1152
1104107,1169
1104108,0
1104109,1061
1104110,1140
1104111,1089
1104112,1086
1104113,1165
1104114,1081
1104115,1137
1104116,1115
1104117,1125
1104118,0
1104119,1078
1104120,1067
1104121,1000
1104122,1176
1104123,1087
1104124,1075
1104125,1116
1104201,933
1104202,945
1104203,945
1104204,746
1104205,870
1104206,0
1104207,1096
1104208,887
1104209,949
1104210,1064
1104211,1090
1104212,0
1104213,929
1104214,1042
1104215,883
1104216,988
1104217,883
1104218,944
1104219,939
1104220,904
1104221,891
1104222,989
1104223,834
1104224,982
1104225,968
1104226,991
1104227,923
1104228,960
1104229,831
1104230,907
1104231,894
1104232,894
1104233,953
1104301,799
1104302,947
1104303,974
1104304,1013
1104305,1003
1104306,0
1104307,1064
1104308,996
1104309,1022
1104310,989
1104311,990
1104312,897
1104313,643
1104314,826
1104315,1047
1104316,952
1104317,884
1104318,948
1104319,991
1104320,978
1104321,1121
1104322,1029
1104323,1015
1104324,1045
1104325,1052
1104326,1028
1104327,1037
1104328,1029
1104329,1014
1104330,1016
1104401,1014
1104402,1013
1104403,922
1104404,1025
1104405,1115
1104406,1055
1104407,1015
1104408,1015
1104409,888
1104410,859
1104411,910
1104412,1042
1104413,0
1104414,1051
1104415,1028
1104416,965
1104417,942
1104418,0
1104419,1059
1104420,1019
1104421,901
1104422,1029
1104423,1062
1104424,966
1104425,1027
1104426,1036
1104427,1002
1104428,986
1104429,1019
1104430,1010
1104431,1023
1104432,988
1104433,998
1104434,954
1104435,1166
1104436,953
1104437,1001
1104438,1082
1104439,1038
1104440,0
1104441,980
1104442,1005
1104443,941
1104444,974
1104445,820
1104446,677
1104447,863
1104448,946
1104449,1025
1104450,1096
1104451,1056
1104452,1020
1104453,942
1104454,1046
1104455,1010
1104456,1091
1104457,1083
1104458,1050
1104459,1066
1104501,1000
1104502,967
1104503,905
1104504,997
1104505,937
1104506,957
1104507,934
1104508,964
1104509,995
1104510,941
1104511,933
1104512,957
1104513,972
1104514,1028
1104515,962
1104516,952
1104517,1004
1104518,1033
1104519,981
1104520,0
1104521,992
1104522,1025
1104523,1036
1104524,946
1104601,980
1104602,997
1104603,990
1104604,964
1104605,1022
1104606,992
1104607,985
1104608,962
1104609,963
1104610,888
1104611,918
1104612,980
1104613,0
1104614,985
1104615,985
1104616,951
1104617,903
1104618,1019
1104619,917
1104620,943
1104621,1021
1104622,982
1104623,
1104624,952
1104625,929
1104701,1057
1104702,1034
1104703,1176
1104704,1009
1104705,1042
1104706,1050
1104707,1017
1104708,1056
1104709,1032
1104710,819
1104711,880
1104712,1161
1104713,1021
1104714,1164
1104715,1054
1104716,1045
1104717,1155
1104718,1005
1104719,985
1104720,1117
1104721,1071
1104722,1007
1104723,1143
1104724,1136
1104725,1045
1104726,1021
1104727,1005
1104728,1014
1104729,1034
1104730,1076
1104731,1010
1104732,991
1104733,918
1104734,1036
1104735,1009
1104736,1064
1104737,0
1104801,914
1104802,1024
1104803,985
1104804,968
1104805,1006
1104806,1032
1104807,1027
1104808,886
1104809,900
1104810,922
1104811,954
1104812,944
1104813,970
1104814,945
1104815,832
1104816,965
1104817,974
1104818,935
1104819,1008
1104820,949
1104821,758
1104822,971
1104823,953
1104824,948
1104825,897
1104826,967
1104827,977
1104828,944
1104829,922
1104830,837
1104831,1048
1104832,1059
1104833,918
1104834,942
1104835,906
1104836,965
1104837,938
1104838,1007
1104840,956
1104841,980
1104842,984
1104843,878
1104844,1030
1104845,900
1104846,879
1104847,978
1104848,988
1104849,0
1104901,1218
1104902,1186
1104903,1169
1104904,1096
1104905,1098
1104906,1077
1104907,1122
1104908,1111
1104909,0
1104910,1107
1105001,984
1105002,1037
1105003,1049
1105004,1069
1105005,1049
1105006,985
1105007,1002
1105008,973
1105009,1002
1105010,997
1105011,967
1105012,966
1105013,979
1105014,0
1105015,1020
1105016,0
1105017,912
1105018,1016
1105019,1052
1105020,917
1105021,925
1105022,1003
1105024,981
1105025,957
1105026,974
1105027,937
1105028,915
1105101,1079
1105102,957
1105103,1000
1105104,1160
1105105,0
1105106,1084
1105107,1110
1105108,1149
1105109,1023
1105110,1078
1105111,986
1105112,1001
1105113,970
1105114,1122
1105115,1007
1105116,1095
1105201,970
1105202,1082
1105203,963
1105204,1044
1105205,1061
1105206,981
1105207,954
1105208,996
1105209,991
1105210,973
1105211,0
1105213,985
1105214,1045
1105215,963
1105216,997
1105301,807
1105302,812
1105303,918
1105304,934
1105305,1043
1105306,1068
1105307,813
1105308,897
1105309,957
1105310,949
1105311,938
1105312,1076
1105313,914
1105314,953
1105315,960
1105316,945
1105317,892
1105318,940
1105319,986
1105320,1011
1105321,931
1105322,1040
1105323,0
1105324,1040
1105325,922
1105326,997
1105327,829
1105328,820
1105329,807
1105330,844
1105331,812
1105332,861
1105333,854
1105334,856
1105335,883
1105336,993
1105337,949
1105401,941
1105402,872
1105403,824
1105404,754
1105405,933
1105406,880
1105407,990
1105408,1002
1105409,975
1105410,937
1105411,996
1105412,1088
1105413,1039
1105414,1050
1105415,0
1105416,0
1105417,938
1105418,896
1105419,858
1105420,963
1105421,992
1105422,974
1105423,957
1105424,974
1105501,1004
1105502,976
1105503,961
1105504,0
1105505,1098
1105506,938
1105507,964
1105508,960
1105509,1141
1105510,1062
1105511,1096
1105512,1047
1105513,1081
1105514,1127
1105601,1087
1105602,1094
1105603,1082
1105604,1041
1105605,1092
1105606,1107
1105607,1074
1105608,1086
1105609,931
1105612,1081
1105613,1084
1105614,1058
1105615,1028
1105616,0
1105617,1036
1105618,1124
1105620,1088
1105621,0
1105622,1106
1105623,1072
1105624,1024
1105625,1045
1105626,942
1105627,994
1105628,1098
1105629,1037
1105630,982
1105631,1065
1105632,1011
1105633,987
1105701,1024
1105702,961
1105703,1017
1105704,967
1105705,996
1105706,800
1105707,907
1105708,1068
1105709,1034
1105710,741
1105711,910
1105712,823
1105713,730
1105714,981
1105715,774
1105716,882
1105717,963
1105718,969
1105719,832
1105720,1031
1105801,1152
1105802,1087
1105804,941
1105805,851
1105806,1143
1105807,902
1105808,706
1105809,1130
1105811,1058
1105813,1035
1105814,1023
1105815,1000
1105816,1043
1105817,879
1105818,909
1105819,888
1105820,813
1105821,849
1105822,797
1105823,844
1105824,823
1105825,842
1105826,1055
1105827,835
1105828,885
1105829,829
1105830,884
1105831,1018
1105832,957
1105833,775
1105834,921
1105835,1111
1105836,804
1105837,1028
1105838,1038
1105839,1040
1105840,1027
1105841,0
1105842,1126
1105843,871
1105844,1035
1105845,1031
1105846,918
1105847,966
1105848,929
1105849,0
1105850,931
1105851,795
1105852,0
1105853,862
1105854,937
1105855,934
1105856,958
1105857,826
1105858,0
1105859,1098
1105860,1130
1105861,1119
1105862,1185
1105863,1125
1105864,1077
1105901,1025
1105902,1042
1105903,1077
1105904,0
1105905,722
1105906,701
1105907,812
1105908,817
1105910,1074
1105912,943
1105913,1034
1105914,903
1105915,1053
1105916,1171
1105917,1116
1105918,1084
1105919,1056
1105920,1058
1105921,1139
1105922,995
1105923,997
1105924,999
1105925,1116
1105926,1071
1105927,853
1106001,1107
1106002,1078
1106003,1032
1106004,1048
1106005,917
1106006,1098
1106007,944
1106008,1078
1106009,1100
1106010,1010
1106011,1069
1106012,1137
1106013,1084
1106014,1084
1106015,1059
1106016,1091
1106017,1115
1106018,1040
1106019,1079
1106020,1062
1106021,0
1106101,932
1106102,1050
1106103,1082
1106104,1048
1106105,996
1106106,1046
1106107,1042
1106108,1052
1106109,860
1106110,875
1106111,869
1106112,972
1106113,0
1106114,973
1106115,1129
1106116,929
1106201,761
1106202,826
1106203,912
1106204,885
1106205,1014
1106206,933
1106207,926
1106208,931
1106209,965
1106210,922
1106211,856
1106212,928
1106213,1072
1106214,1085
1106215,1091
1106216,1070
1106217,1116
1106218,1075
1106219,1078
1106220,1059
1106221,1132
1106222,948
1106223,0
1106224,0
1106225,0
1106301,0
1106302,0
1106303,935
1106304,1072
1106305,1085
1106306,908
1106307,0
1106308,956
1106309,836
1106310,887
1106311,852
1106312,864
1106313,932
1106314,907
1106315,955
1106316,885
1106317,857
1106318,808
1106319,797
1106320,697
1106321,926
1106322,876
1106323,970
1106324,928
1106325,1028
1106326,1065
1106327,1086
1106328,1092
1106329,1033
1106401,945
1106402,929
1106403,973
1106404,871
1106405,881
1106406,887
1106407,1100
1106408,1033
1106409,962
1106410,1047
1106411,1036
1106412,1017
1106413,1070
1106414,1035
1106415,969
1106416,1058
1106417,1059
1106418,1030
1106501,943
1106502,824
1106503,834
1106504,968
1106505,833
1106506,949
1106507,890
1106508,957
1106509,996
1106510,1042
1106511,1001
1106512,906
1106513,950
1106514,964
1106515,974
1106516,1036
1106517,1056
1106518,1085
1106519,1068
1106520,1129
1106521,1084
1106522,1042
1106523,1061
1106524,1105
1106525,1072
1106526,966
1106527,766
1106528,909
1106529,1037
1106601,821
1106602,1133
1106603,1065
1106604,920
1106605,938
1106606,964
1106607,920
1106608,947
1106609,1012
1106610,1028
1106611,1057
1106612,1045
1106613,1105
1106701,917
1106702,1081
1106703,1046
1106704,933
1106705,1113
1106706,1105
1106707,1115
1106708,925
1106709,847
1106710,1021
1106711,872
1106712,878
1106713,1025
1106714,885
1106715,914
1106716,1037
1106717,927
1106718,980
1106719,821
1106720,926
1106721,840
1106722,850
1106723,959
1106724,932
1106725,1069
1106726,975
1106727,791
1106728,839
1106729,906
1106801,1024
1106802,800
1106803,837
1106804,853
1106805,902
1106806,1082
1106807,1005
1106808,1070
1106809,1035
1106810,1062
1106811,1076
1106901,979
1106902,988
1106903,1079
1106904,1070
1106905,1068
1106906,1018
1106907,1086
1106908,1092
1106909,1099
1106910,1085
1106911,860
1106912,918
1106913,1003
1106914,959
1106915,982
1106916,951
1106917,922
1106918,1005
1106919,980
1107001,1108
1107002,1068
1107003,853
1107004,1064
1107005,896
1107006,831
1107007,850
1107008,1147
1107009,0
1107010,916
1107011,871
1107012,957
1107013,938
1107014,941
1107015,905
1107016,862
1107017,1118
1107018,969
1107019,840
1107020,838
1107021,717
1107022,1025
1107023,797
1107024,967
1107025,985
1107026,976
1107027,993
1107028,933
1107029,876
1107030,1102
1107031,0
1107032,873
1107101,886
1107102,992
1107103,911
1107104,948
1107105,1026
1107106,1010
1107107,873
1107108,936
1107109,1112
1107110,1072
1107111,1058
1107112,1063
1107113,954
1107114,1053
1107115,1121
1107116,1067
1107117,1060
1107118,0
1107119,1005
1107120,1102
1107121,1052
1107122,919
1107123,923
1107124,957
1107125,1011
1107126,1013
1107127,1076
1107128,995
1107201,946
1107202,884
1107203,931
1107204,782
1107205,953
1107206,1143
1107207,1154
1107208,939
1107209,937
1107210,859
1107211,1066
1107212,1054
1107214,1061
1107215,975
1107216,887
1107217,998
1107218,1062
1107219,981
1107220,930
1107221,933
1107222,1144
1107224,850
1107225,1057
1107226,1087
1107227,1106
1107228,1072
1107301,0
1107302,1029
1107303,939
1107304,962
1107305,875
1107306,847
1107307,851
1107308,807
1107309,914
1107310,994
1107311,953
1107312,894
1107313,1002
1107314,1028
1107401,1009
1107402,1035
1107403,916
1107404,1010
1107405,895
1107406,998
1107407,1045
1107408,1046
1107409,983
1107410,938
1107411,1088
1107412,955
1107413,915
1107414,964
1107415,1002
1107416,1060
1107417,1043
1107418,1099
1107419,1026
1107420,1076
1107421,1090
1107422,1019
1107423,929
1107425,971
1107426,929
1107427,1049
1107501,0
1107601,1112
1107602,1077
1107603,992
1107604,907
1107605,993
1107606,886
1107607,877
1107608,921
1107609,977
