SA1_7DIG16,mean
1100701,0.063829787
1100702,0.086363636
1100703,0.046728972
1100704,0.193832599
1100705,0.056410256
1100706,0.086614173
1100707,0.062780269
1100708,0.097472924
1100709,0.068292683
1100710,0.069400631
1100801,0.120218579
1100802,0.075539568
1100803,0.193103448
1100804,0.168831169
1100805,0.426229508
1100806,0.12804878
1100807,0.101604278
1100808,0.165853659
1100809,0
1100810,0.083333333
1100811,0.088757396
1100812,0
1100813,0.056872038
1100814,0.08097166
1100815,0.068493151
1100816,0.238410596
1100817,0.107142857
1100818,0.189189189
1100819,0.130434783
1100820,0.159292035
1100821,0.047120419
1100822,0.073394495
1100823,0.108433735
1100901,0.104347826
1100902,0.161073826
1100904,0.086666667
1100905,0.17032967
1100907,0.06097561
1100908,0.032258065
1100909,0.054441261
1100910,0.04620462
1100911,0.123655914
1100912,0.224489796
1100913,0.09929078
1100914,0.115740741
1100915,0.113157895
1100916,0.074235808
1100917,0.153846154
1100918,0.189964158
1100919,0.050675676
1100920,0.615
1100921,0.031372549
1100923,0.118644068
1100924,0
1100925,0.061776062
1100926,0.048275862
1100927,0.099236641
1100928,0.107954545
1100929,0.289855072
1101001,0.188405797
1101002,0.018604651
1101003,0.064705882
1101004,0.034013605
1101006,0.080586081
1101007,0.047945205
1101008,0.060085837
1101009,0.156424581
1101010,0.144385027
1101011,0
1101012,0.073170732
1101013,0
1101014,0.041666667
1101015,0.049132948
1101016,0.095477387
1101017,0.067357513
1101101,0.069767442
1101102,0.057142857
1101103,0.027027027
1101104,0.025423729
1101105,0.041353383
1101106,0.038461538
1101107,0.054347826
1101108,0.06763285
1101109,0.046391753
1101110,0.08411215
1101111,0.031007752
1101112,0.078947368
1101113,0.070588235
1101115,0.021276596
1101116,0.077720207
1101117,0.030674847
1101118,0.061904762
1101119,0.076923077
1101120,0.024734982
1101122,0.077922078
1101123,0.064516129
1101125,0.033898305
1101126,0.043650794
1101127,0.082901554
1101128,0.05625
1101129,0.036697248
1101130,0.035911602
1101131,0.023076923
1101132,0.072368421
1101133,0.046875
1101134,0.060402685
1101135,0.039408867
1101136,0.065217391
1101137,0.023041475
1101139,0.035714286
1101140,0.052132701
1101141,0.044520548
1101142,0.109589041
1101143,0.128
1101144,0.025641026
1101145,0.065789474
1101146,0.048611111
1101147,0.035353535
1101148,0.039772727
1101149,0.017647059
1101150,0.022346369
1101151,0
1101152,0.050691244
1101201,0.103092784
1101202,0.020833333
1101203,0.059649123
1101204,0
1101205,0.043209877
1101206,0.040816327
1101207,0.04587156
1101208,0.048076923
1101209,0.047222222
1101210,0.04954955
1101211,0.028571429
1101212,0.044871795
1101213,0.045627376
1101214,0.067669173
1101215,0.068181818
1101216,0.042424242
1101217,0
1101218,0.064220183
1101219,0.079617834
1101220,0.091370558
1101221,0.072368421
1101222,0.054945055
1101223,0.06
1101224,0.042857143
1101225,0
1101226,0
1101227,0.024271845
1101228,0.100529101
1101229,0.0625
1101230,0.101123596
1101231,0.029585799
1101232,0.04587156
1101301,0.232323232
1101302,0.290502793
1101303,0.097560976
1101304,0.062857143
1101305,0.099236641
1101306,0.060240964
1101307,0.083333333
1101308,0.128571429
1101401,0.221374046
1101402,0.114942529
1101403,0.195121951
1101404,0.17370892
1101405,0.152542373
1101406,0.093333333
1101407,0.112107623
1101408,0.132653061
1101409,0.061983471
1101410,0.147959184
1101411,0.069230769
1101412,0.091603053
1101413,0.125827815
1101414,0.094117647
1101415,0.196261682
1101417,0
1101418,0.048648649
1101419,0.083333333
1101501,0
1101502,0
1101503,0.211111111
1101505,0
1101511,0.191919192
1101512,0.083333333
1101514,0.053333333
1101515,0.05
1101516,0.102272727
1101517,0.08988764
1101518,0.023668639
1101519,0.076923077
1101520,0.063291139
1101521,0.074712644
1101522,0.11299435
1101523,0.03030303
1101524,0.088235294
1101601,0
1101602,0.114832536
1101603,0.084415584
1101604,0.064
1101605,0.037037037
1101606,0.046428571
1101607,0.128440367
1101608,0.039106145
1101609,0.057894737
1101610,0.036764706
1101611,0.011406844
1101612,0
1101613,0.044247788
1101614,0.06185567
1101615,0.03255814
1101616,0.061983471
1101617,0
1101618,0.025423729
1101619,0.093385214
1101620,0.045454545
1101701,0.378737542
1101702,0.095744681
1101703,0.304093567
1101704,0.203125
1101705,0.322580645
1101706,0.336283186
1101707,0
1101708,0.130208333
1101709,0.082568807
1101710,0.094076655
1101711,0.117647059
1101712,0.153846154
1101713,0.117647059
1101714,0
1101715,0
1101716,0.21875
1101717,0.194690265
1101718,0.153409091
1101719,0.189944134
1101720,0.074380165
1101721,0.246153846
1101722,0.150943396
1101801,0.065217391
1101802,0.060773481
1101803,0.123076923
1101804,0.127659574
1101805,0.077380952
1101806,0.200873362
1101807,0.137055838
1101808,0.199152542
1101809,0.676829268
1101810,0.195652174
1101811,0.126865672
1101812,0.114427861
1101813,0.048913043
1101814,0.072992701
1101815,0.104972376
1101816,0.126760563
1101817,0.092592593
1101818,0.177033493
1101819,0.175824176
1101820,0.263157895
1101821,0.06741573
1101822,0.370909091
1101823,0.238317757
1101824,0
1101901,0.473684211
1101902,0.351648352
1101903,0.3125
1101904,0.118644068
1101905,0.182432432
1101906,0.057471264
1101907,0.059259259
1101909,0.181034483
1101911,0.075
1101912,0.080952381
1101913,0.056768559
1101914,0.131428571
1101915,0.051724138
1101916,0.035714286
1101917,0.057471264
1101918,0.042553191
1101919,0.018987342
1101920,0.076923077
1101921,0.074074074
1101922,0.11299435
1101923,0.162561576
1102001,0.110047847
1102002,0.067137809
1102003,0.116666667
1102004,0.093922652
1102005,0.121428571
1102006,0.143678161
1102007,0.053140097
1102008,0.042553191
1102009,0
1102010,0
1102011,0.095541401
1102012,0
1102013,0.192307692
1102014,0.081818182
1102015,0.07826087
1102016,0.163120567
1102017,0.05511811
1102018,0.112554113
1102019,0.054455446
1102020,0.083333333
1102021,0
1102022,0.173076923
1102023,0.052287582
1102024,0.060150376
1102025,0.100558659
1102026,0.153846154
1102027,0.041666667
1102028,0.08056872
1102029,0.056818182
1102030,0.14673913
1102031,0.065789474
1102032,0.068965517
1102101,0.108695652
1102102,0.050420168
1102104,0.277777778
1102105,0.091324201
1102106,0.117834395
1102107,0.081325301
1102108,0.09009009
1102109,0
1102201,0.1875
1102301,0.118012422
1102302,0.054187192
1102303,0.096774194
1102304,0.154639175
1102305,0.082949309
1102306,0.49122807
1102307,0.117647059
1102308,0.235897436
1102309,0.116129032
1102310,0
1102401,0.089552239
1102402,0.071895425
1102403,0.10619469
1102404,0.083333333
1102405,0.075342466
1102406,0.107142857
1102407,0.090277778
1102408,0.112903226
1102409,0.066225166
1102410,0.105263158
1102411,0.108108108
1102412,0.028708134
1102501,0
1102502,0.118918919
1102503,0.295
1102504,0.123287671
1102505,0.144
1102506,0.042328042
1102507,0.034965035
1102508,0.128919861
1102509,0.053191489
1102510,0.116161616
1102511,0.148148148
1102512,0.073943662
1102513,0.113300493
1102514,0.104166667
1102516,0.058064516
1102517,0.035714286
1102518,0.048507463
1102519,0.347107438
1102520,0.078291815
1102521,0.101123596
1102522,0.032085561
1102523,0.103092784
1102524,0.046511628
1102525,0.155844156
1102526,0.114814815
1102527,0.105022831
1102528,0.139751553
1102529,0.111111111
1102530,0.14507772
1102531,0
1102532,0.33490566
1102601,0.140151515
1102602,0.123028391
1102603,0.048543689
1102604,0.145348837
1102605,0.10652921
1102606,0.057894737
1102607,0.176136364
1102608,0.272222222
1102609,0.237569061
1102610,0.23655914
1102611,0.107438017
1102612,0.11827957
1102613,0.163265306
1102614,0.116071429
1102615,0.079439252
1102616,0.03030303
1102617,0.070422535
1102618,0.047368421
1102619,0.106796117
1102620,0.26119403
1102621,0.197183099
1102622,0.157142857
1102623,0.133858268
1102701,0.099236641
1102702,0.182389937
1102703,0.121212121
1102704,0.204225352
1102705,0.090909091
1102706,0.345238095
1102707,0.190661479
1102708,0.416216216
1102709,0.114982578
1102710,0.039735099
1102711,0
1102712,0.108786611
1102713,0.0969163
1102714,0
1102715,0.333333333
1102716,0
1102717,0.080882353
1102718,0.117283951
1102719,0.130208333
1102720,0.132450331
1102721,0.101408451
1102722,0.098039216
1102723,0.070967742
1102724,0.120833333
1102725,0.196428571
1102726,0.1640625
1102727,0.105263158
1102728,0.174825175
1102729,0.18707483
1102801,0
1102802,0.05015674
1102803,0.056547619
1102804,0.105691057
1102805,0.068181818
1102806,0.084942085
1102807,0.060483871
1102808,0.015463918
1102809,0.052023121
1102810,0.09252669
1102811,0.042056075
1102812,0.022026432
1102813,0.083333333
1102814,0.046025105
1102815,0.076923077
1102816,0.01744186
1102817,0.01369863
1102818,0.046948357
1102901,0.08045977
1102902,0.016853933
1102903,0.095454545
1102904,0.104
1102905,0.08
1102906,0.065217391
1102907,0.105882353
1102908,0.103603604
1102909,0.08040201
1102910,0.090517241
1102911,0.054945055
1102912,0.035433071
1102913,0.051020408
1102914,0.076023392
1102915,0.07755102
1102916,0.074257426
1102917,0.083333333
1102918,0.067567568
1102919,0.170616114
1102920,0
1102921,0
1102922,0.097457627
1102923,0.087209302
1102924,0.049586777
1102925,0.094339623
1102926,0.065868263
1102927,0.044247788
1102928,0.229813665
1103002,0.042424242
1103003,0.082089552
1103004,0.117283951
1103005,0.095238095
1103006,0.05988024
1103007,0.094444444
1103008,0.107142857
1103009,0.057591623
1103010,0.084070796
1103011,0.091428571
1103012,0.050420168
1103013,0
1103014,0.09009009
1103101,0.096385542
1103102,0.552763819
1103103,0.243093923
1103104,0.2
1103105,0.120535714
1103106,0.115384615
1103107,0
1103108,0.041322314
1103109,0.025862069
1103110,0.202970297
1103111,0.073619632
1103112,0.033333333
1103113,0.056818182
1103114,0.0562249
1103115,0.064150943
1103116,0.090196078
1103117,0.096256684
1103118,0.056179775
1103119,0.078341014
1103120,0.052631579
1103121,0.159090909
1103122,0.086486486
1103123,0.152542373
1103124,0.079545455
1103125,0.212962963
1103126,0.335227273
1103127,0.062857143
1103128,0.888888889
1103129,0.085714286
1103130,0.067567568
1103131,0.276712329
1103132,0
1103133,0.08411215
1103134,0.121495327
1103135,0.063157895
1103136,0.115577889
1103137,0.097701149
1103138,0.089285714
1103201,0.114583333
1103202,0.242009132
1103203,0.054285714
1103204,0.107816712
1103205,0.123966942
1103206,0
1103207,0.048128342
1103208,0.079681275
1103210,0.107142857
1103211,0.09765625
1103212,0.140350877
1103213,0.054545455
1103214,0.096273292
1103215,0.157894737
1103216,0.169811321
1103217,0.126315789
1103218,0.05982906
1103219,0.040201005
1103220,0.069124424
1103221,0.101265823
1103223,0
1103224,0.063432836
1103225,0.055045872
1103226,0.089655172
1103227,0.173728814
1103228,0.15625
1103229,0.123931624
1103230,0.20212766
1103231,0.128099174
1103232,0.152073733
1103233,0.111111111
1103234,0.059701493
1103235,0.187845304
1103236,0.154135338
1103237,0.099415205
1103238,0.066037736
1103239,0.082066869
1103240,0.282407407
1103241,0.085603113
1103242,0.139534884
1103243,0.085245902
1103244,0.574074074
1103245,0.111675127
1103246,0.032051282
1103247,0.045
1103248,0.094594595
1103301,0.082568807
1103302,0.112068966
1103303,0.092485549
1103304,0.064285714
1103305,0.053435115
1103306,0.094890511
1103307,0.090909091
1103308,0.102272727
1103309,0
1103310,0.095588235
1103311,0.11827957
1103312,0.082191781
1103313,0.059602649
1103314,0.047058824
1103315,0.074168798
1103316,0
1103317,0.096638655
1103318,0.091954023
1103319,0.152866242
1103320,0
1103401,0.153846154
1103402,0.078431373
1103403,0.145833333
1103404,0.046511628
1103405,0.145833333
1103406,0.130434783
1103407,0.056737589
1103408,0.033898305
1103409,0.075949367
1103410,0.104046243
1103411,0.088709677
1103412,0.052863436
1103413,0.082417582
1103414,0.197916667
1103415,0.206896552
1103416,0.116504854
1103417,0.272277228
1103418,0.501449275
1103419,0.102564103
1103501,0.102236422
1103502,0.166666667
1103503,0.0703125
1103504,0.114035088
1103505,0.055045872
1103506,0.094545455
1103507,0.152777778
1103508,0.08627451
1103509,0.100628931
1103510,0.087557604
1103511,0.08
1103512,0.154411765
1103513,0.085889571
1103514,0.156976744
1103515,0.129770992
1103516,0.26446281
1103517,0.103448276
1103601,0.03030303
1103602,0.04040404
1103603,0.076335878
1103604,0.060810811
1103605,0.049261084
1103606,0.126865672
1103607,0.045454545
1103608,0.478087649
1103609,0.071823204
1103610,0.105263158
1103611,0.06918239
1103612,0.363636364
1103613,0.128205128
1103614,0.125
1103615,0.092592593
1103616,0.059259259
1103617,0.093264249
1103618,0.03030303
1103619,0.142857143
1103620,0.127192982
1103621,0.070671378
1103622,0.091549296
1103701,0.13803681
1103702,0.119047619
1103703,0.106321839
1103704,0.129770992
1103705,0.081196581
1103706,0.105882353
1103707,0.104166667
1103708,0.071942446
1103709,0.113573407
1103710,0.092682927
1103711,0.22
1103712,0.035502959
1103713,0.212765957
1103714,0.043103448
1103801,0.02892562
1103802,0.073529412
1103803,0.134146341
1103804,0.139013453
1103805,0.098591549
1103806,0.137931034
1103807,0.126168224
1103808,0.241935484
1103809,0.085106383
1103810,0.057894737
1103811,0.054166667
1103812,0.085561497
1103813,0.068548387
1103814,0.079847909
1103815,0.073863636
1103816,0.03255814
1103817,0.111702128
1103901,0.037037037
1103902,0.096938776
1103903,0.094594595
1103904,0.071174377
1103905,0.058295964
1103906,0.051282051
1103908,0.04296875
1103909,0.064327485
1103911,0.050746269
1103912,0.109965636
1103913,0.060606061
1103914,0.027027027
1103915,0.034351145
1103916,0.043137255
1103917,0.052023121
1103918,0.054945055
1103919,0.172588832
1103920,0.019073569
1103921,0.040462428
1103922,0.061016949
1103923,0.102857143
1103924,0.284210526
1103925,0.095652174
1103926,0.05801105
1103927,0.033195021
1103928,0.052173913
1103929,0.036199095
1103930,0.118421053
1103931,0.056701031
1104001,0.153846154
1104002,0.186206897
1104003,0.108280255
1104004,0.118181818
1104005,0.131944444
1104006,0.092592593
1104007,0.224358974
1104008,0
1104009,0.134545455
1104010,0.191616766
1104011,0.17989418
1104012,0.123287671
1104013,0.13618677
1104014,0.188953488
1104015,0.044247788
1104016,0.068119891
1104017,0.19330855
1104018,0.141463415
1104019,0.126829268
1104020,0.209424084
1104021,0.125
1104022,0.247787611
1104023,0.11965812
1104024,0.104166667
1104025,0.112
1104026,0.156351792
1104027,0.207692308
1104028,0.124260355
1104029,0.105504587
1104030,0.134969325
1104031,0.173913043
1104032,0.203883495
1104033,0.149425287
1104034,0.141666667
1104035,0.2
1104036,0.113095238
1104037,0.186666667
1104038,0.152173913
1104039,0.114068441
1104040,0.119318182
1104041,0.180952381
1104042,0.146464646
1104043,0.172
1104044,0.153333333
1104045,0.128078818
1104046,0.188481675
1104047,0.106666667
1104048,0.096618357
1104049,0.087301587
1104050,0.169934641
1104051,0.108108108
1104052,0.102150538
1104053,0.147321429
1104054,0.045685279
1104055,0.086021505
1104056,0.078703704
1104057,0.086053412
1104058,0.114285714
1104101,0.076595745
1104102,0.036809816
1104103,0.043668122
1104104,0.09223301
1104105,0.038674033
1104106,0.110576923
1104107,0.102941176
1104108,0
1104109,0.069767442
1104110,0.049382716
1104111,0.076923077
1104112,0.036144578
1104113,0.057894737
1104114,0.071895425
1104115,0.072916667
1104116,0.04587156
1104117,0.04
1104118,0
1104119,0.024896266
1104120,0.049327354
1104121,0.132947977
1104122,0.098765432
1104123,0.045248869
1104124,0.066945607
1104125,0.0703125
1104201,0.135746606
1104202,0.142222222
1104203,0.086206897
1104204,0.256157635
1104205,0.196581197
1104206,0
1104207,0.042345277
1104208,0.206477733
1104209,0.130081301
1104210,0.053719008
1104211,0.078838174
1104212,0
1104213,0.143835616
1104214,0.082822086
1104215,0.134146341
1104216,0.163636364
1104217,0.2
1104218,0.104166667
1104219,0.130952381
1104220,0.172
1104221,0.146443515
1104222,0.083665339
1104223,0.982608696
1104224,0.162561576
1104225,0.137168142
1104226,0.120603015
1104227,0.208333333
1104228,0.162011173
1104229,0.141025641
1104230,0.154255319
1104231,0.492063492
1104232,0.184782609
1104233,0.141263941
1104301,0.076923077
1104302,0.133333333
1104303,0.208333333
1104304,0.063829787
1104305,0.075675676
1104306,0
1104307,0.023255814
1104308,0.13986014
1104309,0.06741573
1104310,0.109090909
1104311,0.084070796
1104312,0.406
1104313,0.285714286
1104314,1.012195122
1104315,0.090909091
1104316,0.138888889
1104317,0.12345679
1104318,0.146892655
1104319,0.087179487
1104320,0.110091743
1104321,0.25136612
1104322,0.14893617
1104323,0.133027523
1104324,0.122605364
1104325,0.529209622
1104326,0.086805556
1104327,0.041025641
1104328,0.050724638
