SA1_CODE21,mean
1100701,0.496453901
1100702,0.413636364
1100703,0.420560748
1100704,0.533039648
1100705,0.476923077
1100706,0.488188976
1100707,0.448430493
1100708,0.418772563
1100709,0.204878049
1100710,0.388012618
1100801,0.202185792
1100802,0.410071942
1100803,0.324137931
1100804,0.428571429
1100805,0.442622951
1100806,0.365853659
1100807,0.411764706
1100808,0.346341463
1100809,0
1100810,0.225
1100811,0.431952663
1100812,0.037037037
1100813,0.118483412
1100814,0.198380567
1100815,0.301369863
1100816,0.390728477
1100817,0.428571429
1100818,0.378378378
1100819,0.195652174
1100820,0.371681416
1100821,0.287958115
1100822,0.266055046
1100823,0.13253012
1100901,0.32173913
1100902,0.429530201
1100904,0.533333333
1100905,0.489010989
1100907,0.146341463
1100908,0.151612903
1100909,0.100286533
1100910,0.125412541
1100911,0.290322581
1100912,0.62244898
1100913,0.361702128
1100914,0.342592593
1100915,0.221052632
1100916,0.200873362
1100917,0.34965035
1100918,0.577060932
1100919,0.226351351
1100920,0.69
1100921,0.125490196
1100923,0.412429379
1100924,0.5
1100925,0.108108108
1100926,0.096551724
1100927,0.267175573
1100928,0.261363636
1100929,0.427536232
1101001,0.376811594
1101002,0.246511628
1101003,0.358823529
1101004,0.156462585
1101006,0.135531136
1101007,0.150684932
1101008,0.25751073
1101009,0.268156425
1101010,0.181818182
1101011,0
1101012,0
1101013,0
1101014,0.479166667
1101015,0.115606936
1101016,0.185929648
1101017,0.186528497
1101101,0.200581395
1101102,0.214285714
1101103,0.194594595
1101104,0.276836158
1101105,0.334586466
1101106,0.230769231
1101107,0.201086957
1101108,0.246376812
1101109,0.319587629
1101110,0.373831776
1101111,0.282945736
1101112,0.245614035
1101113,0.2
1101115,0.117021277
1101116,0.248704663
1101117,0.196319018
1101118,0.347619048
1101119,0.203296703
1101120,0.222614841
1101122,0.318181818
1101123,0.107526882
1101125,0.13559322
1101126,0.28968254
1101127,0.227979275
1101128,0.15
1101129,0.174311927
1101130,0.17679558
1101131,0.176923077
1101132,0.151315789
1101133,0.260416667
1101134,0.248322148
1101135,0.251231527
1101136,0.336956522
1101137,0.193548387
1101139,0.071428571
1101140,0.374407583
1101141,0.205479452
1101142,0.116438356
1101143,0.032
1101144,0.068376068
1101145,0.131578947
1101146,0.104166667
1101147,0.060606061
1101148,0.034090909
1101149,0.017647059
1101150,0.106145251
1101151,0.168831169
1101152,0.115207373
1101201,0.216494845
1101202,0.041666667
1101203,0.098245614
1101204,0.04
1101205,0.092592593
1101206,0.045918367
1101207,0.211009174
1101208,0.346153846
1101209,0.086111111
1101210,0.153153153
1101211,0.067857143
1101212,0.102564103
1101213,0.148288973
1101214,0.127819549
1101215,0.186363636
1101216,0.181818182
1101217,0.5
1101218,0.252293578
1101219,0.213375796
1101220,0.289340102
1101221,0.019736842
1101222,0.146520147
1101223,0.23
1101224,0.132142857
1101225,0
1101226,0
1101227,0.04368932
1101228,0.105820106
1101229,0.090909091
1101230,0.101123596
1101231,0.325443787
1101232,0.050458716
1101301,0.797979798
1101302,0.675977654
1101303,0.43902439
1101304,0.617142857
1101305,0.458015267
1101306,0.554216867
1101307,0.506944444
1101308,0.542857143
1101401,0.648854962
1101402,0.344827586
1101403,0.517073171
1101404,0.535211268
1101405,0.514124294
1101406,0.551111111
1101407,0.443946188
1101408,0.510204082
1101409,0.615702479
1101410,0.464285714
1101411,0.202564103
1101412,0.34351145
1101413,0.496688742
1101414,0.611764706
1101415,0.401869159
1101417,0
1101418,0.362162162
1101419,0.416666667
1101501,0
1101502,0
1101503,0.711111111
1101505,0.5
1101511,0.646464646
1101512,0.53125
1101514,0.533333333
1101515,0.385714286
1101516,0.272727273
1101517,0.348314607
1101518,0.384615385
1101519,0.326923077
1101520,0.379746835
1101521,0.350574713
1101522,0.276836158
1101523,0.424242424
1101524,0.654411765
1101601,0.096774194
1101602,0.373205742
1101603,0.538961039
1101604,0.368
1101605,0.192592593
1101606,0.235714286
1101607,0.431192661
1101608,0.279329609
1101609,0.084210526
1101610,0.235294118
1101611,0.079847909
1101612,0
1101613,0.256637168
1101614,0.144329897
1101615,0.204651163
1101616,0.194214876
1101617,0.125506073
1101618,0.223163842
1101619,0.361867704
1101620,0.154545455
1101701,0.750830565
1101702,0.510638298
1101703,1.040935673
1101704,0.614583333
1101705,0.677419355
1101706,0.880530973
1101707,1
1101708,0.510416667
1101709,0.412844037
1101710,0.543554007
1101711,0.364705882
1101712,0.525641026
1101713,0.625668449
1101714,0
1101715,0
1101716,0.46875
1101717,0.938053097
1101718,0.642045455
1101719,0.608938547
1101720,0.644628099
1101721,0.546153846
1101722,0.825471698
1101801,0.510869565
1101802,0.546961326
1101803,0.307692308
1101804,0.680851064
1101805,0.488095238
1101806,0.598253275
1101807,0.588832487
1101808,0.728813559
1101809,1.225609756
1101810,0.565217391
1101811,0.955223881
1101812,0.691542289
1101813,0.451086957
1101814,0.649635036
1101815,0.629834254
1101816,0.507042254
1101817,0.490740741
1101818,0.851674641
1101819,0.571428571
1101820,0.631578947
1101821,0.483146067
1101822,0.756363636
1101823,0.570093458
1101824,0
1101901,0.715789474
1101902,0.71978022
1101903,0.705357143
1101904,0.536723164
1101905,0.574324324
1101906,0.310344828
1101907,0.437037037
1101909,0.568965517
1101911,0.425
1101912,0.366666667
1101913,0.506550218
1101914,0.417142857
1101915,0.24137931
1101916,0.327922078
1101917,0.301724138
1101918,0.560283688
1101919,0.297468354
1101920,0.358974359
1101921,0.362962963
1101922,0.531073446
1101923,0.413793103
1102001,0.306220096
1102002,0.303886926
1102003,0.327777778
1102004,0.298342541
1102005,0.542857143
1102006,0.477011494
1102007,0.275362319
1102008,0.303191489
1102009,0.857142857
1102010,0
1102011,0.363057325
1102012,0
1102013,0.461538462
1102014,0.372727273
1102015,0.52173913
1102016,0.354609929
1102017,0.275590551
1102018,0.32034632
1102019,0.326732673
1102020,0.430555556
1102021,0
1102022,0.397435897
1102023,0.346405229
1102024,0.421052632
1102025,0.273743017
1102026,0.395604396
1102027,0.333333333
1102028,0.341232227
1102029,0.426136364
1102030,0.489130435
1102031,0.394736842
1102032,0.344827586
1102101,0.469565217
1102102,0.394957983
1102104,0.859649123
1102105,0.424657534
1102106,0.662420382
1102107,0.415662651
1102108,0.423423423
1102109,0.25
1102201,1
1102301,0.645962733
1102302,0.54679803
1102303,0.380645161
1102304,0.567010309
1102305,0.66359447
1102306,0.754385965
1102307,0.784313725
1102308,0.538461538
1102309,0.638709677
1102310,0.75
1102401,0.432835821
1102402,0.392156863
1102403,0.469026549
1102404,0.356481481
1102405,0.417808219
1102406,0.421428571
1102407,0.569444444
1102408,0.443548387
1102409,0.443708609
1102410,0.324561404
1102411,0.459459459
1102412,0.387559809
1102501,0
1102502,0.508108108
1102503,1.11
1102504,0.51369863
1102505,0.792
1102506,0.465608466
1102507,0.559440559
1102508,0.979094077
1102509,0.20212766
1102510,0.54040404
1102511,0.546296296
1102512,0.830985915
1102513,0.300492611
1102514,0.739583333
1102516,0.374193548
1102517,0.458333333
1102518,0.507462687
1102519,0.909090909
1102520,0.729537367
1102521,0.471910112
1102522,0.56684492
1102523,0.360824742
1102524,0.325581395
1102525,0.848484848
1102526,0.385185185
1102527,0.538812785
1102528,0.593167702
1102529,0.666666667
1102530,0.585492228
1102531,0
1102532,0.617924528
1102601,0.662878788
1102602,0.697160883
1102603,0.563106796
1102604,0.808139535
1102605,0.725085911
1102606,0.405263158
1102607,0.579545455
1102608,0.866666667
1102609,0.585635359
1102610,0.591397849
1102611,0.644628099
1102612,0.612903226
1102613,0.476190476
1102614,0.351190476
1102615,0.443925234
1102616,0.416666667
1102617,0.352112676
1102618,0.436842105
1102619,0.36407767
1102620,0.529850746
1102621,0.507042254
1102622,0.3
1102623,0.559055118
1102701,0.763358779
1102702,0.672955975
1102703,0.808080808
1102704,0.492957746
1102705,0.570247934
1102706,0.924603175
1102707,0.649805447
1102708,0.875675676
1102709,0.463414634
1102710,0.443708609
1102711,0
1102712,0.439330544
1102713,0.466960352
1102714,0
1102715,0.833333333
1102716,0
1102717,0.558823529
1102718,0.666666667
1102719,0.588541667
1102720,0.490066225
1102721,0.684507042
1102722,0.333333333
1102723,0.548387097
1102724,0.583333333
1102725,1
1102726,0.765625
1102727,0.535087719
1102728,0.993006993
1102729,0.700680272
1102801,0
1102802,0.26645768
1102803,0.37797619
1102804,0.341463415
1102805,0.215909091
1102806,0.463320463
1102807,0.318548387
1102808,0.175257732
1102809,0.222543353
1102810,0.234875445
1102811,0.144859813
1102812,0.220264317
1102813,0.394444444
1102814,0.213389121
1102815,0.197115385
1102816,0.244186047
1102817,0.269406393
1102818,0.187793427
1102901,0.396551724
1102902,0.348314607
1102903,0.4
1102904,0.268
1102905,0.31
1102906,0.5
1102907,0.511764706
1102908,0.567567568
1102909,0.743718593
1102910,0.327586207
1102911,0.406593407
1102912,0.476377953
1102913,0.229591837
1102914,0.245614035
1102915,0.363265306
1102916,0.336633663
1102917,0.431818182
1102918,0.391891892
1102919,1.047393365
1102920,0
1102921,0
1102922,0.177966102
1102923,0.186046512
1102924,0.140495868
1102925,0.426415094
1102926,0.491017964
1102927,0.504424779
1102928,1.180124224
1103002,0.33030303
1103003,0.305970149
1103004,0.333333333
1103005,0.365079365
1103006,0.281437126
1103007,0.5
1103008,0.428571429
1103009,0.319371728
1103010,0.345132743
1103011,0.362857143
1103012,0.344537815
1103013,0
1103014,0.414414414
1103101,0.409638554
1103102,1.185929648
1103103,1.883977901
1103104,1.07804878
1103105,0.388392857
1103106,0.25
1103107,0.25
1103108,0.181818182
1103109,0.370689655
1103110,0.445544554
1103111,0.36196319
1103112,0.177777778
1103113,0.272727273
1103114,0.297188755
1103115,0.305660377
1103116,0.317647059
1103117,0.459893048
1103118,0.314606742
1103119,0.248847926
1103120,0.368421053
1103121,0.340909091
1103122,0.486486486
1103123,0.401129944
1103124,0.494318182
1103125,0.796296296
1103126,1.482954545
1103127,0.285714286
1103128,0.983539095
1103129,0.404081633
1103130,0.358108108
1103131,1.484931507
1103132,0
1103133,0.285046729
1103134,0.429906542
1103135,0.552631579
1103136,0.311557789
1103137,0.988505747
1103138,0.332142857
1103201,0.421875
1103202,0.191780822
1103203,0.054285714
1103204,0.142857143
1103205,0.20661157
1103206,0.4
1103207,0.160427807
1103208,0.187250996
1103210,0.154761905
1103211,0.296875
1103212,0.293859649
1103213,0.236363636
1103214,0.267080745
1103215,0.221052632
1103216,0.327044025
1103217,0.242105263
1103218,0.235042735
1103219,0.090452261
1103220,0.414746544
1103221,0.272151899
1103223,0
1103224,0.335820896
1103225,0.256880734
1103226,0.268965517
1103227,0.351694915
1103228,0.505208333
1103229,0.388888889
1103230,0.588652482
1103231,0.466942149
1103232,0.410138249
1103233,0.204678363
1103234,0.266169154
1103235,0.491712707
1103236,0.248120301
1103237,0.122807018
1103238,0.433962264
1103239,0.516717325
1103240,0.759259259
1103241,0.299610895
1103242,0.468023256
1103243,0.4
1103244,1.259259259
1103245,0.21319797
1103246,0.192307692
1103247,0.16
1103248,0.198198198
1103301,0.128440367
1103302,0.219827586
1103303,0.156069364
1103304,0.178571429
1103305,0.229007634
1103306,0.226277372
1103307,0.181818182
1103308,0.25
1103309,0
1103310,0.213235294
1103311,0.177419355
1103312,0.212328767
1103313,0.145695364
1103314,0.152941176
1103315,0.189258312
1103316,0
1103317,0.306722689
1103318,0.114942529
1103319,0.229299363
1103320,0
1103401,0.307692308
1103402,0.464052288
1103403,0.427083333
1103404,0.23255814
1103405,0.203125
1103406,0.289855072
1103407,0.382978723
1103408,0.361581921
1103409,0.240506329
1103410,0.265895954
1103411,0.306451613
1103412,0.220264317
1103413,0.467032967
1103414,0.947916667
1103415,1.284482759
1103416,0.766990291
1103417,1
1103418,1.762318841
1103419,0.230769231
1103501,0.345047923
1103502,0.340277778
1103503,0.2578125
1103504,0.298245614
1103505,0.229357798
1103506,0.28
1103507,0.368055556
1103508,0.149019608
1103509,0.238993711
1103510,0.313364055
1103511,0.256
1103512,0.330882353
1103513,0.294478528
1103514,0.203488372
1103515,0.236641221
1103516,0.347107438
1103517,0.310344828
1103601,0.080808081
1103602,0.131313131
1103603,0.22519084
1103604,0.182432432
1103605,0.123152709
1103606,0.276119403
1103607,0.272727273
1103608,1.011952191
1103609,0.165745856
1103610,0.285714286
1103611,0.402515723
1103612,0.227272727
1103613,0.276923077
1103614,0.205645161
1103615,0.212962963
1103616,0.244444444
1103617,0.388601036
1103618,0.090909091
1103619,0.246305419
1103620,0.263157895
1103621,0.204946996
