SA1_7DIG16,mean
1100701,0.388566018
1100702,0.957579656
1100703,89.50230029
1100704,177.1223471
1100705,162.7984639
1100706,2.003489542
1100707,0.503646013
1100708,0.24346856
1100709,0.584065386
1100710,0.383781514
1100801,1275.261324
1100802,926.6666667
1100803,1107.715814
1100804,694.3192065
1100805,623.7218814
1100806,1207.658321
1100807,762.9538964
1100808,1332.89987
1100809,0
1100810,1288.936627
1100811,1038.721573
1100812,1217.312894
1100813,978.2104775
1100814,827.7479893
1100815,1535.764376
1100816,497.8569074
1100817,901.7713366
1100818,1031.598513
1100819,1131.611316
1100820,659.6614127
1100821,1176.108374
1100822,903.0654515
1100823,840.9321175
1100901,1148.851149
1100902,1102.071006
1100904,1084.598698
1100905,681.6479401
1100907,1502.748931
1100908,1957.070707
1100909,3843.612335
1100910,2899.521531
1100911,1244.147157
1100912,858.1436077
1100913,1077.158136
1100914,783.7445573
1100915,2009.518773
1100916,1564.20765
1100917,550.8474576
1100918,1322.901849
1100919,831.6942962
1100920,2544.529262
1100921,3617.021277
1100923,812.6721763
1100924,38.14367451
1100925,4559.859155
1100926,1285.460993
1100927,311.6821318
1100928,1121.733588
1100929,743.1340872
1101001,776.1529809
1101002,157.856094
1101003,126.601132
1101004,1536.050157
1101006,1945.830364
1101007,1094.452774
1101008,601.1351909
1101009,162.446683
1101010,1842.364532
1101011,5.529062133
1101012,2009.803922
1101013,0
1101014,42.25910111
1101015,4004.62963
1101016,1026.831785
1101017,1325.549451
1101101,311.2558813
1101102,1.588648877
1101103,0.798600334
1101104,29.59000293
1101105,10.21195567
1101106,10.94258824
1101107,0.713717179
1101108,174.8753907
1101109,4.214651781
1101110,0.874441624
1101111,4.87513605
1101112,1.247697506
1101113,0.811426411
1101115,7.511707075
1101116,0.270111933
1101117,0.666744385
1101118,0.527298494
1101119,12.71313714
1101120,29.29940262
1101122,57.6088583
1101123,24.94568279
1101125,580.2517703
1101126,281.5013405
1101127,7.377337431
1101128,6.389240519
1101129,15.41049893
1101130,12.80495785
1101131,23.63378541
1101132,26.35320226
1101133,12.43072461
1101134,11.89335888
1101135,6.184762938
1101136,11.91354907
1101137,5.723720999
1101139,22.89901534
1101140,5.161435515
1101141,1.23972293
1101142,896.2553714
1101143,915.7509158
1101144,767.7165354
1101145,577.0690964
1101146,836.7228356
1101147,1501.137225
1101148,121.723494
1101149,1503.094607
1101150,2.239369874
1101151,57.20228809
1101152,468.2779456
1101201,1078.976641
1101202,461.8345093
1101203,542.4438523
1101204,223.3282287
1101205,825.2674478
1101206,845.9214502
1101207,1245.714286
1101208,561.5550756
1101209,816.5116807
1101210,1015.553522
1101211,1129.032258
1101212,1221.613156
1101213,1002.286585
1101214,1224.114128
1101215,965.3356735
1101216,1154.653604
1101217,8.149295086
1101218,1016.317016
1101219,1159.099299
1101220,625.3968254
1101221,953.5759097
1101222,1354.166667
1101223,835.6545961
1101224,845.1554482
1101225,0
1101226,0
1101227,803.4321373
1101228,1017.770598
1101229,888.4401817
1101230,1149.870801
1101231,474.7191011
1101232,1085.116974
1101301,57.21220527
1101302,71.14184651
1101303,106.5488565
1101304,115.5802127
1101305,0.130424697
1101306,0.053074823
1101307,0.30140158
1101308,0.074751353
1101401,641.8422342
1101402,299.32909
1101403,250.1830608
1101404,107.7226521
1101405,336.5658871
1101406,101.6260163
1101407,167.7322302
1101408,73.42473964
1101409,195.9672848
1101410,314.808866
1101411,374.1366078
1101412,187.4105866
1101413,354.1275797
1101414,397.7538606
1101415,862.2078969
1101417,3.886376484
1101418,2.149575604
1101419,420.4625088
1101501,0
1101502,0
1101503,92.84093254
1101505,0.359821471
1101511,48.92512973
1101512,0.160795267
1101514,0.161126493
1101515,0.801763421
1101516,0.641761928
1101517,0.111179832
1101518,0.52144239
1101519,6.596389745
1101520,0.10525508
1101521,0.361283228
1101522,0.718209492
1101523,0.119440944
1101524,0.386953961
1101601,10.18095832
1101602,351.6742386
1101603,0.226369321
1101604,4.915976136
1101605,1.102503418
1101606,0.924424958
1101607,0.514593931
1101608,0.487247057
1101609,11.68231482
1101610,0.455548005
1101611,242.2623434
1101612,0.039399006
1101613,39.88845353
1101614,530.1995081
1101615,714.7606383
1101616,858.460447
1101617,607.3272683
1101618,40.12240734
1101619,153.9014312
1101620,219.3419741
1101701,804.8128342
1101702,867.1586716
1101703,601.4773127
1101704,785.5973813
1101705,505.4347826
1101706,165.4223393
1101707,0.0906443
1101708,135.9580796
1101709,43.20938714
1101710,238.3522963
1101711,31.04795997
1101712,115.2028358
1101713,515.5776124
1101714,0
1101715,0
1101716,508.2053997
1101717,221.3082648
1101718,251.3567552
1101719,487.8713546
1101720,108.3646785
1101721,465.7828735
1101722,284.5637584
1101801,367.1189146
1101802,262.8139974
1101803,15.7189611
1101804,307.4910043
1101805,105.92686
1101806,833.6366946
1101807,654.0504648
1101808,865.7373441
1101809,515.0753769
1101810,695.2141058
1101811,329.1574552
1101812,346.6114847
1101813,28.47239416
1101814,259.3223547
1101815,133.9450899
1101816,401.0544154
1101817,385.4389722
1101818,608.4425036
1101819,142.2097203
1101820,795.5338451
1101821,739.2026578
1101822,617.4225415
1101823,376.5616752
1101824,0
1101901,474.1702021
1101902,354.2234332
1101903,354.3182537
1101904,638.5281385
1101905,476.9577828
1101906,212.3245882
1101907,315.641805
1101909,123.6937513
1101911,241.984271
1101912,363.6363636
1101913,711.8433323
1101914,23.99840925
1101915,3.692362539
1101916,7.455984275
1101917,11.1482363
1101918,23.51567712
1101919,3.972464286
1101920,373.0272597
1101921,198.2378855
1101922,39.69410868
1101923,24.90491964
1102001,3.266324198
1102002,4.013358955
1102003,296.735905
1102004,1.602842256
1102005,0.14408823
1102006,0.840020508
1102007,3.905903575
1102008,2.005500191
1102009,0.028751566
1102010,0
1102011,1.636505966
1102012,0
1102013,96.09461624
1102014,1.857816255
1102015,1.112643011
1102016,1.378831514
1102017,2.066559488
1102018,3.187613843
1102019,0.569512047
1102020,2.125464392
1102021,0
1102022,63.85068762
1102023,3.474682509
1102024,0.924992819
1102025,195.1591801
1102026,1.037623546
1102027,1.097674759
1102028,1.982080489
1102029,3.320880033
1102030,113.1820139
1102031,3.495828005
1102032,0.682787033
1102101,527.5229358
1102102,357.0357036
1102104,263.7464333
1102105,139.224412
1102106,136.083904
1102107,143.0911128
1102108,200.1622938
1102109,1.076918935
1102201,0.005751261
1102301,298.4797924
1102302,228.0130293
1102303,47.83950617
1102304,1.119409875
1102305,422.9195089
1102306,508.625818
1102307,386.0711582
1102308,284.0495266
1102309,246.5012723
1102310,3.764705882
1102401,0.545869762
1102402,0.231031799
1102403,65.72060021
1102404,3.84748978
1102405,1.07671681
1102406,1.265785017
1102407,51.23278898
1102408,121.1055767
1102409,1.001374735
1102410,1.313895366
1102411,66.63465002
1102412,40.45056902
1102501,0
1102502,797.4137931
1102503,1077.586207
1102504,676.2389995
1102505,379.0175864
1102506,197.3478125
1102507,188.455456
1102508,190.3435469
1102509,5.472816404
1102510,214.2393421
1102511,274.7392521
1102512,598.6509275
1102513,39.2938717
1102514,91.31551413
1102516,110.304583
1102517,263.6121136
1102518,272.3300478
1102519,192.5831609
1102520,520.2740233
1102521,136.9230769
1102522,564.9546828
1102523,6.510591457
1102524,12.0402087
1102525,12.05951449
1102526,131.4380294
1102527,181.4115308
1102528,368.7585891
1102529,264.5011601
1102530,644.4073456
1102531,0
1102532,70.68080283
1102601,316.8887288
1102602,89.86024889
1102603,230.5282005
1102604,337.9174853
1102605,536.9994464
1102606,22.98628082
1102607,249.3977611
1102608,334.4481605
1102609,375.7525431
1102610,238.4004102
1102611,10.39179649
1102612,18.6746988
1102613,6.316875081
1102614,31.03524717
1102615,138.0912435
1102616,3.285183821
1102617,14.03272986
1102618,11.22142229
1102619,20.82259352
1102620,208.5278556
1102621,166.9802446
1102622,8.972000948
1102623,56.88944634
1102701,553.9112051
1102702,455.9793519
1102703,32.75542615
1102704,339.307049
1102705,294.9061662
1102706,124.1134752
1102707,391.8877707
1102708,500.5411255
1102709,120.6135743
1102710,2.870706061
1102711,0
1102712,2.997015524
1102713,8.950045342
1102714,0
1102715,0.547500205
1102716,0
1102717,63.61680232
1102718,225.9414226
1102719,276.9363912
1102720,27.76909355
1102721,72.60456079
1102722,8.737215398
1102723,10.83817555
1102724,85.28784648
1102725,673.3466934
1102726,125.0977326
1102727,32.83930346
1102728,334.1902314
1102729,221.8030932
1102801,0
1102802,273.8667582
1102803,585.4678515
1102804,809.7432521
1102805,1343.51145
1102806,1208.586094
1102807,361.094933
1102808,1053.20304
1102809,1208.944794
1102810,985.2734923
1102811,1687.697161
1102812,759.7054886
1102813,724.0547064
1102814,979.1069234
1102815,1048.387097
1102816,289.6110456
1102817,1101.609658
1102818,990.6976744
1102901,159.6183836
1102902,588.0409647
1102903,437.7238361
1102904,1407.657658
1102905,578.5363032
1102906,341.1619283
1102907,1082.802548
1102908,1299.005266
1102909,933.8338808
1102910,87.81558727
1102911,164.795364
1102912,240.5758666
1102913,48.03686094
1102914,49.12240384
1102915,1530.293567
1102916,1179.217747
1102917,411.8564743
1102918,803.7653874
1102919,651.6368128
1102920,0.425417263
1102921,0
1102922,170.9773238
1102923,942.9824561
1102924,648.7935657
1102925,865.7301535
1102926,164.4348169
1102927,298.7310539
1102928,253.0253025
1103002,8.768829733
1103003,1.630451976
1103004,5.737234653
1103005,10.84374677
1103006,3.375530838
1103007,3.999502284
1103008,0.719257213
1103009,2.447638477
1103010,3.554286218
1103011,2.030409737
1103012,131.158382
1103013,2.388273577
1103014,5.704374639
1103101,1247.182569
1103102,583.4066256
1103103,1256.072172
1103104,943.3962264
1103105,1254.901961
1103106,723.2267038
1103107,2.726962845
1103108,382.6691967
1103109,1475.826972
1103110,1237.745098
1103111,1021.943574
1103112,31.34468708
1103113,68.44343047
1103114,44.7318782
1103115,64.51455838
1103116,202.3167248
1103117,1202.572347
1103118,83.98603378
1103119,142.3137461
1103120,1385.941645
1103121,1182.795699
1103122,1257.647859
1103123,1162.179908
1103124,594.3937859
1103125,1092.012133
1103126,1139.896373
1103127,198.5252411
1103128,433.3868379
1103129,1447.135263
1103130,1409.52381
1103131,470.9069797
1103132,5.131713992
1103133,1597.014925
1103134,678.5034876
1103135,1254.125413
1103136,1050.131926
1103137,362.8023353
1103138,468.69769
1103201,859.0604027
1103202,204.1387025
1103203,547.9881008
1103204,2073.784237
1103205,1789.940828
1103206,9.045517042
1103207,2043.715847
1103208,1607.943626
1103210,93.43715239
1103211,1238.509918
1103212,1064.42577
1103213,44.96770501
1103214,659.8360656
1103215,720.7890744
1103216,1114.225648
1103217,365.8067
1103218,1538.461538
1103219,2948.148148
1103220,3064.971751
1103221,2781.690141
1103223,2.17155266
1103224,467.7954268
1103225,140.554481
1103226,2470.187394
1103227,1380.924517
1103228,965.5519236
1103229,1879.518072
1103230,2204.847537
1103231,451.1558538
